Date,Price,Open,High,Low,Percent,Diff
2024-10-28,0.2107,0.211,0.2113,0.2104,0.0,0.0
2024-10-29,0.2116,0.2108,0.2119,0.2106,0.4271,0.0009
2024-10-30,0.2105,0.2116,0.212,0.2103,-0.5198,-0.0011
2024-10-31,0.2104,0.2105,0.2114,0.2099,-0.0475,-0.0001
2024-11-01,0.2095,0.2104,0.2108,0.2094,-0.4278,-0.0009
2024-11-02,0.2097,0.2103,0.2108,0.2095,0.0796,0.0002
2024-11-03,0.2098,0.2102,0.2109,0.2097,0.0795,0.0002
2024-11-04,0.21,0.2101,0.2109,0.2098,0.0794,0.0002
2024-11-05,0.2115,0.21,0.2116,0.21,0.7143,0.0015
2024-11-06,0.2088,0.2114,0.2118,0.2086,-1.2766,-0.0027
2024-11-07,0.2095,0.2089,0.2115,0.2084,0.3352,0.0007
