Date,Price,Open,High,Low,Percent,Diff
2010-12-31,30.055,30.132,30.132,29.978,0.0,0.0
2011-01-01,30.059,30.098,30.119,29.9927,0.0133,0.004
2011-01-02,30.063,30.064,30.106,30.0073,0.0133,0.004
2011-01-03,30.067,30.03,30.093,30.022,0.0133,0.004
2011-01-04,30.105,30.067,30.112,30.025,0.1264,0.038
2011-01-05,30.22,30.105,30.225,30.093,0.382,0.115
2011-01-06,30.28,30.22,30.285,30.18,0.1985,0.06
2011-01-07,30.36,30.28,30.433,30.245,0.2642,0.08
2011-01-08,30.4633,30.31,30.547,30.2767,0.3404,0.1033
2011-01-09,30.5667,30.34,30.661,30.3083,0.3392,0.1033
2011-01-10,30.67,30.37,30.775,30.34,0.3381,0.1033
2011-01-11,30.51,30.67,30.845,30.505,-0.5217,-0.16
2011-01-12,30.35,30.51,30.53,30.345,-0.5244,-0.16
2011-01-13,30.42,30.35,30.515,30.33,0.2306,0.07
2011-01-14,30.505,30.42,30.58,30.42,0.2794,0.085
2011-01-15,30.5233,30.4417,30.59,30.4393,0.0601,0.0183
2011-01-16,30.5417,30.4633,30.6,30.4587,0.0601,0.0183
2011-01-17,30.56,30.485,30.61,30.478,0.06,0.0183
2011-01-18,30.485,30.56,30.65,30.41,-0.2454,-0.075
2011-01-19,30.5,30.485,30.505,30.42,0.0492,0.015
2011-01-20,30.62,30.5,30.645,30.5,0.3934,0.12
2011-01-21,30.69,30.62,30.715,30.585,0.2286,0.07
2011-01-22,30.775,30.6383,30.8067,30.6117,0.277,0.085
2011-01-23,30.86,30.6567,30.8983,30.6383,0.2762,0.085
2011-01-24,30.945,30.675,30.99,30.665,0.2754,0.085
2011-01-25,30.935,30.945,31.055,30.925,-0.0323,-0.01
2011-01-26,30.8,30.935,31.0,30.748,-0.4364,-0.135
2011-01-27,30.855,30.8,30.98,30.745,0.1786,0.055
2011-01-28,31.03,30.855,31.118,30.835,0.5672,0.175
2011-01-29,30.9867,30.9483,31.1487,30.8467,-0.1396,-0.0433
2011-01-30,30.9433,31.0417,31.1793,30.8583,-0.1398,-0.0433
2011-01-31,30.9,31.135,31.21,30.87,-0.14,-0.0433
2011-02-01,30.765,30.9,30.94,30.76,-0.4369,-0.135
2011-02-02,30.855,30.765,30.873,30.76,0.2925,0.09
2011-02-03,30.905,30.855,30.92,30.83,0.162,0.05
2011-02-04,30.79,30.905,30.905,30.74,-0.3721,-0.115
2011-02-05,30.7683,30.875,30.9017,30.7293,-0.0704,-0.0217
2011-02-06,30.7467,30.845,30.8983,30.7187,-0.0704,-0.0217
2011-02-07,30.725,30.815,30.895,30.708,-0.0705,-0.0217
2011-02-08,30.685,30.725,30.73,30.663,-0.1302,-0.04
2011-02-09,30.715,30.685,30.745,30.66,0.0978,0.03
2011-02-10,30.795,30.715,30.86,30.71,0.2605,0.08
2011-02-11,30.785,30.795,30.885,30.75,-0.0325,-0.01
2011-02-12,30.77,30.8017,30.8667,30.7417,-0.0487,-0.015
2011-02-13,30.755,30.8083,30.8483,30.7333,-0.0487,-0.015
2011-02-14,30.74,30.815,30.83,30.725,-0.0488,-0.015
2011-02-15,30.695,30.74,30.74,30.682,-0.1464,-0.045
2011-02-16,30.615,30.695,30.695,30.61,-0.2606,-0.08
2011-02-17,30.595,30.615,30.657,30.58,-0.0653,-0.02
2011-02-18,30.565,30.595,30.62,30.545,-0.0981,-0.03
2011-02-19,30.56,30.5867,30.6033,30.5333,-0.0164,-0.005
2011-02-20,30.555,30.5783,30.5867,30.5217,-0.0164,-0.005
2011-02-21,30.55,30.57,30.57,30.51,-0.0164,-0.005
2011-02-22,30.65,30.55,30.675,30.55,0.3273,0.1
2011-02-23,30.62,30.65,30.655,30.595,-0.0979,-0.03
2011-02-24,30.605,30.62,30.685,30.6,-0.049,-0.015
2011-02-25,30.625,30.605,30.645,30.57,0.0653,0.02
2011-02-26,30.6083,30.6133,30.6427,30.57,-0.0544,-0.0167
2011-02-27,30.5917,30.6217,30.6403,30.57,-0.0545,-0.0167
2011-02-28,30.575,30.63,30.638,30.57,-0.0545,-0.0167
2011-03-01,30.555,30.575,30.6,30.525,-0.0654,-0.02
2011-03-02,30.52,30.555,30.568,30.52,-0.1145,-0.035
2011-03-03,30.48,30.52,30.528,30.46,-0.1311,-0.04
2011-03-04,30.455,30.48,30.495,30.445,-0.082,-0.025
2011-03-05,30.4433,30.4717,30.4867,30.425,-0.0383,-0.0117
2011-03-06,30.4317,30.4633,30.4783,30.405,-0.0383,-0.0117
2011-03-07,30.42,30.455,30.47,30.385,-0.0383,-0.0117
2011-03-08,30.35,30.42,30.445,30.325,-0.2301,-0.07
2011-03-09,30.305,30.35,30.37,30.3,-0.1483,-0.045
2011-03-10,30.4,30.305,30.405,30.24,0.3135,0.095
2011-03-11,30.36,30.4,30.475,30.355,-0.1316,-0.04
2011-03-12,30.3467,30.3883,30.4517,30.335,-0.0439,-0.0133
2011-03-13,30.3333,30.3767,30.4283,30.315,-0.0439,-0.0133
2011-03-14,30.32,30.365,30.405,30.295,-0.044,-0.0133
2011-03-15,30.44,30.32,30.52,30.305,0.3958,0.12
2011-03-16,30.19,30.445,30.625,30.13,-0.8213,-0.25
2011-03-17,30.275,30.415,30.49,30.21,0.2816,0.085
2011-03-18,30.32,30.275,30.425,30.195,0.1486,0.045
2011-03-19,30.2983,30.2783,30.3817,30.2017,-0.0715,-0.0217
2011-03-20,30.2767,30.2817,30.3383,30.2083,-0.0715,-0.0217
2011-03-21,30.255,30.285,30.295,30.215,-0.0716,-0.0217
2011-03-22,30.215,30.255,30.258,30.19,-0.1322,-0.04
2011-03-23,30.27,30.215,30.31,30.21,0.182,0.055
2011-03-24,30.26,30.27,30.32,30.235,-0.033,-0.01
2011-03-25,30.27,30.26,30.285,30.215,0.033,0.01
2011-03-26,30.2767,30.2683,30.2983,30.2317,0.022,0.0067
2011-03-27,30.2833,30.2767,30.3117,30.2483,0.022,0.0067
2011-03-28,30.29,30.285,30.325,30.265,0.022,0.0067
2011-03-29,30.33,30.29,30.36,30.29,0.1321,0.04
2011-03-30,30.33,30.33,30.355,30.298,0.0,0.0
2011-03-31,30.275,30.33,30.34,30.235,-0.1813,-0.055
2011-04-01,30.255,30.275,30.315,30.25,-0.0661,-0.02
2011-04-02,30.245,30.2683,30.3,30.2367,-0.0331,-0.01
2011-04-03,30.235,30.2617,30.285,30.2233,-0.0331,-0.01
2011-04-04,30.225,30.255,30.27,30.21,-0.0331,-0.01
2011-04-05,30.165,30.225,30.247,30.153,-0.1985,-0.06
2011-04-06,30.125,30.165,30.165,30.125,-0.1326,-0.04
2011-04-07,30.075,30.125,30.155,30.05,-0.166,-0.05
2011-04-08,30.035,30.075,30.095,30.018,-0.133,-0.04
2011-04-09,30.0567,30.0583,30.0983,30.0153,0.0721,0.0217
2011-04-10,30.0783,30.0417,30.1017,30.0127,0.0721,0.0217
2011-04-11,30.1,30.025,30.105,30.01,0.072,0.0217
2011-04-12,30.14,30.1,30.218,30.095,0.1329,0.04
2011-04-13,30.14,30.14,30.182,30.13,0.0,0.0
2011-04-14,30.115,30.14,30.185,30.095,-0.0829,-0.025
2011-04-15,30.115,30.115,30.155,30.11,0.0,0.0
2011-04-16,30.1183,30.115,30.1567,30.1033,0.0111,0.0033
2011-04-17,30.1217,30.115,30.1583,30.0967,0.0111,0.0033
2011-04-18,30.125,30.115,30.16,30.09,0.0111,0.0033
2011-04-19,30.05,30.125,30.155,30.045,-0.249,-0.075
2011-04-20,29.945,30.05,30.055,29.928,-0.3494,-0.105
2011-04-21,29.9,29.945,29.945,29.875,-0.1503,-0.045
2011-04-22,29.925,29.9,29.975,29.89,0.0836,0.025
2011-04-23,29.9367,29.915,29.9767,29.8893,0.039,0.0117
2011-04-24,29.9483,29.93,29.9783,29.8887,0.039,0.0117
2011-04-25,29.96,29.945,29.98,29.888,0.039,0.0117
2011-04-26,29.915,29.96,30.03,29.91,-0.1502,-0.045
2011-04-27,29.9,29.915,29.985,29.88,-0.0501,-0.015
2011-04-28,29.925,29.9,29.945,29.858,0.0836,0.025
2011-04-29,29.875,29.925,29.97,29.855,-0.1671,-0.05
2011-04-30,29.8733,29.91,29.9467,29.8517,-0.0056,-0.0017
2011-05-01,29.8717,29.895,29.9233,29.8483,-0.0056,-0.0017
2011-05-02,29.87,29.88,29.9,29.845,-0.0056,-0.0017
2011-05-03,29.98,29.87,30.01,29.87,0.3683,0.11
2011-05-04,30.075,29.98,30.105,29.96,0.3169,0.095
2011-05-05,30.255,30.075,30.275,30.048,0.5985,0.18
2011-05-06,30.205,30.255,30.265,30.15,-0.1653,-0.05
2011-05-07,30.2,30.245,30.2517,30.155,-0.0166,-0.005
2011-05-08,30.195,30.235,30.2383,30.16,-0.0166,-0.005
2011-05-09,30.19,30.225,30.225,30.165,-0.0166,-0.005
2011-05-10,30.14,30.19,30.202,30.14,-0.1656,-0.05
2011-05-11,30.18,30.14,30.215,30.02,0.1327,0.04
2011-05-12,30.26,30.18,30.347,30.145,0.2651,0.08
2011-05-13,30.285,30.26,30.305,30.165,0.0826,0.025
2011-05-14,30.2967,30.27,30.3183,30.2017,0.0385,0.0117
2011-05-15,30.3083,30.28,30.3317,30.2383,0.0385,0.0117
2011-05-16,30.32,30.29,30.345,30.275,0.0385,0.0117
2011-05-17,30.305,30.32,30.335,30.27,-0.0495,-0.015
2011-05-18,30.235,30.305,30.305,30.225,-0.231,-0.07
2011-05-19,30.245,30.235,30.302,30.205,0.0331,0.01
2011-05-20,30.285,30.245,30.315,30.24,0.1323,0.04
2011-05-21,30.3267,30.2633,30.3533,30.2593,0.1376,0.0417
2011-05-22,30.3683,30.2817,30.3917,30.2787,0.1374,0.0417
2011-05-23,30.41,30.3,30.43,30.298,0.1372,0.0417
2011-05-24,30.385,30.41,30.415,30.365,-0.0822,-0.025
2011-05-25,30.44,30.385,30.5,30.38,0.181,0.055
2011-05-26,30.4,30.44,30.448,30.38,-0.1314,-0.04
2011-05-27,30.3,30.4,30.425,30.295,-0.3289,-0.1
2011-05-28,30.3067,30.3683,30.4,30.2883,0.022,0.0067
2011-05-29,30.3133,30.3367,30.375,30.2817,0.022,0.0067
2011-05-30,30.32,30.305,30.35,30.275,0.022,0.0067
2011-05-31,30.29,30.32,30.34,30.28,-0.0989,-0.03
2011-06-01,30.3,30.29,30.31,30.21,0.033,0.01
2011-06-02,30.3,30.3,30.335,30.275,0.0,0.0
2011-06-03,30.28,30.3,30.35,30.27,-0.066,-0.02
2011-06-04,30.28,30.2817,30.3333,30.26,0.0,0.0
2011-06-05,30.28,30.2633,30.3167,30.25,0.0,0.0
2011-06-06,30.28,30.245,30.3,30.24,0.0,0.0
2011-06-07,30.27,30.28,30.325,30.255,-0.033,-0.01
2011-06-08,30.385,30.27,30.397,30.265,0.3799,0.115
2011-06-09,30.41,30.385,30.465,30.38,0.0823,0.025
2011-06-10,30.415,30.41,30.448,30.378,0.0164,0.005
2011-06-11,30.425,30.42,30.4603,30.3953,0.0329,0.01
2011-06-12,30.435,30.43,30.4727,30.4127,0.0329,0.01
2011-06-13,30.445,30.44,30.485,30.43,0.0329,0.01
2011-06-14,30.45,30.445,30.48,30.425,0.0164,0.005
2011-06-15,30.57,30.45,30.57,30.438,0.3941,0.12
2011-06-16,30.62,30.57,30.655,30.57,0.1636,0.05
2011-06-17,30.53,30.62,30.625,30.53,-0.2939,-0.09
2011-06-18,30.54,30.5933,30.6233,30.5333,0.0328,0.01
2011-06-19,30.55,30.5667,30.6217,30.5367,0.0327,0.01
2011-06-20,30.56,30.54,30.62,30.54,0.0327,0.01
2011-06-21,30.485,30.56,30.575,30.47,-0.2454,-0.075
2011-06-22,30.465,30.485,30.503,30.395,-0.0656,-0.02
2011-06-23,30.6,30.465,30.65,30.46,0.4431,0.135
2011-06-24,30.715,30.6,30.72,30.58,0.3758,0.115
2011-06-25,30.7783,30.6383,30.7933,30.625,0.2062,0.0633
2011-06-26,30.8417,30.6767,30.8667,30.67,0.2058,0.0633
2011-06-27,30.905,30.715,30.94,30.715,0.2053,0.0633
2011-06-28,30.955,30.905,31.0,30.89,0.1618,0.05
2011-06-29,30.785,30.955,30.968,30.763,-0.5492,-0.17
2011-06-30,30.735,30.785,30.788,30.65,-0.1624,-0.05
2011-07-01,30.715,30.735,30.835,30.705,-0.0651,-0.02
2011-07-02,30.6217,30.6767,30.7443,30.6067,-0.3039,-0.0933
2011-07-03,30.5283,30.6183,30.6537,30.5083,-0.3048,-0.0933
2011-07-04,30.435,30.56,30.563,30.41,-0.3057,-0.0933
2011-07-05,30.485,30.435,30.558,30.43,0.1643,0.05
2011-07-06,30.42,30.485,30.515,30.42,-0.2132,-0.065
2011-07-07,30.265,30.42,30.42,30.26,-0.5095,-0.155
2011-07-08,30.23,30.265,30.267,30.15,-0.1156,-0.035
2011-07-09,30.2683,30.2567,30.2947,30.1783,0.1268,0.0383
2011-07-10,30.3067,30.2483,30.3223,30.2067,0.1266,0.0383
2011-07-11,30.345,30.24,30.35,30.235,0.1265,0.0383
2011-07-12,30.275,30.345,30.475,30.26,-0.2307,-0.07
2011-07-13,30.01,30.275,30.3,29.995,-0.8753,-0.265
2011-07-14,30.08,30.01,30.16,30.01,0.2333,0.07
