"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","% เปลี่ยน"
"Jan 03, 2000","4.4705","4.4675","4.4705","4.4675","53.36"
"Jan 04, 2000","4.5019","4.4988","4.5019","4.4988","0.70"
"Jan 05, 2000","4.4808","4.4747","4.4808","4.4747","-0.47"
"Jan 06, 2000","4.5412","4.5352","4.5412","4.5352","1.35"
"Jan 07, 2000","4.4985","4.4943","4.4985","4.4943","-0.94"
"Jan 10, 2000","4.4973","4.4943","4.4973","4.4943","-0.03"
"Jan 11, 2000","4.5456","4.5425","4.5456","4.5425","1.07"
"Jan 12, 2000","4.5286","4.5256","4.5286","4.5256","-0.37"
"Jan 13, 2000","4.5236","4.5206","4.5236","4.5206","-0.11"
"Jan 14, 2000","4.5237","4.5195","4.5237","4.5195","0.00"
"Jan 17, 2000","4.5215","4.5185","4.5215","4.5185","-0.05"
"Jan 18, 2000","4.5095","4.5064","4.5095","4.5064","-0.27"
"Jan 19, 2000","4.5141","4.5110","4.5141","4.5110","0.10"
"Jan 20, 2000","4.4997","4.4967","4.4997","4.4967","-0.32"
"Jan 21, 2000","4.4948","4.4918","4.4948","4.4918","-0.11"
"Jan 24, 2000","4.4964","4.4934","4.4964","4.4934","0.04"
"Jan 25, 2000","4.5050","4.5020","4.5050","4.5020","0.19"
"Jan 26, 2000","4.5354","4.5324","4.5354","4.5324","0.67"
"Jan 27, 2000","4.5184","4.5154","4.5184","4.5154","-0.37"
"Jan 28, 2000","4.5451","4.5361","4.5451","4.5361","0.59"
"Jan 31, 2000","4.5357","4.5327","4.5357","4.5327","-0.21"
"Feb 01, 2000","4.5370","4.5340","4.5370","4.5340","0.03"
"Feb 02, 2000","4.5480","4.5450","4.5480","4.5450","0.24"
"Feb 03, 2000","4.5366","4.5336","4.5366","4.5336","-0.25"
"Feb 04, 2000","4.5375","4.5345","4.5375","4.5345","0.02"
"Feb 07, 2000","4.5556","4.5526","4.5556","4.5526","0.40"
"Feb 08, 2000","4.5435","4.5405","4.5435","4.5405","-0.27"
"Feb 09, 2000","4.5375","4.5345","4.5375","4.5345","-0.13"
"Feb 10, 2000","4.5218","4.5188","4.5218","4.5188","-0.35"
"Feb 11, 2000","4.5169","4.5139","4.5169","4.5139","-0.11"
"Feb 14, 2000","4.5271","4.5241","4.5271","4.5241","0.23"
"Feb 15, 2000","4.5332","4.5302","4.5332","4.5302","0.13"
"Feb 16, 2000","4.5502","4.5472","4.5502","4.5472","0.38"
"Feb 17, 2000","4.5698","4.5668","4.5698","4.5668","0.43"
"Feb 18, 2000","4.6048","4.6018","4.6048","4.6018","0.77"
"Feb 21, 2000","4.6095","4.6065","4.6095","4.6065","0.10"
"Feb 22, 2000","4.6132","4.6102","4.6132","4.6102","0.08"
"Feb 23, 2000","4.6044","4.6014","4.6044","4.6014","-0.19"
"Feb 24, 2000","4.6092","4.6062","4.6092","4.6062","0.10"
"Feb 25, 2000","4.5678","4.5648","4.5678","4.5648","-0.90"
"Feb 28, 2000","4.5811","4.5781","4.5811","4.5781","0.29"
"Feb 29, 2000","4.6052","4.6022","4.6052","4.6022","0.53"
"Mar 01, 2000","4.5931","4.5901","4.5931","4.5901","-0.26"
"Mar 02, 2000","4.5931","4.5901","4.5931","4.5901","0.00"
"Mar 03, 2000","4.5930","4.5900","4.5930","4.5900","-0.00"
"Mar 06, 2000","4.6053","4.6023","4.6053","4.6023","0.27"
"Mar 07, 2000","4.5957","4.5927","4.5957","4.5927","-0.21"
"Mar 08, 2000","4.5847","4.5817","4.5847","4.5817","-0.24"
"Mar 09, 2000","4.5786","4.5756","4.5786","4.5756","-0.13"
"Mar 10, 2000","4.5703","4.5673","4.5703","4.5673","-0.18"
"Mar 13, 2000","4.5753","4.5723","4.5753","4.5723","0.11"
"Mar 14, 2000","4.5790","4.5760","4.5790","4.5760","0.08"
"Mar 15, 2000","4.6026","4.5966","4.6026","4.5966","0.52"
"Mar 16, 2000","4.5732","4.5701","4.5732","4.5701","-0.64"
"Mar 17, 2000","4.5896","4.5866","4.5896","4.5866","0.36"
"Mar 20, 2000","4.5907","4.5877","4.5907","4.5877","0.02"
"Mar 21, 2000","4.5716","4.5698","4.5716","4.5698","-0.42"
"Mar 22, 2000","4.5655","4.5625","4.5655","4.5625","-0.13"
"Mar 23, 2000","4.5556","4.5526","4.5556","4.5526","-0.22"
"Mar 24, 2000","4.5580","4.5550","4.5580","4.5550","0.05"
"Mar 27, 2000","4.5620","4.5596","4.5620","4.5596","0.09"
