Date,Price,Open,High,Low,Volume,Percent,Unit
2000-01-04,283.7,289.5,289.5,280.0,21620.0,0.0,0.0
2000-01-05,282.1,283.7,285.0,281.0,25450.0,-0.56,-1.6
2000-01-06,282.4,281.6,282.8,280.2,19060.0,0.11,0.3
2000-01-07,282.9,282.5,284.5,282.0,11270.0,0.18,0.5
2000-01-08,282.83,282.47,284.3,281.93,17713.33,-0.02,-0.07
2000-01-09,282.77,282.43,284.1,281.87,24156.67,-0.02,-0.06
2000-01-10,282.7,282.4,283.9,281.8,30600.0,-0.02,-0.07
2000-01-11,284.4,282.4,285.3,281.9,13500.0,0.6,1.7
2000-01-12,283.7,284.5,285.0,282.5,17840.0,-0.25,-0.7
2000-01-13,285.1,283.5,285.9,282.9,12170.0,0.49,1.4
2000-01-14,284.9,285.2,285.6,284.0,32340.0,-0.07,-0.2
2000-01-15,286.08,285.42,286.65,284.48,31410.0,0.41,1.18
2000-01-16,287.25,285.65,287.7,284.95,30480.0,0.41,1.17
2000-01-17,288.42,285.88,288.75,285.42,29550.0,0.41,1.17
2000-01-18,289.6,286.1,289.8,285.9,28620.0,0.41,1.18
2000-01-19,290.3,289.6,291.0,287.5,24100.0,0.24,0.7
2000-01-20,289.3,290.3,290.7,288.4,20710.0,-0.34,-1.0
2000-01-21,289.7,289.0,290.3,287.4,25730.0,0.14,0.4
2000-01-22,289.17,289.23,290.1,287.03,27866.67,-0.18,-0.53
2000-01-23,288.63,289.47,289.9,286.67,30003.33,-0.19,-0.54
2000-01-24,288.1,289.7,289.7,286.3,32140.0,-0.18,-0.53
2000-01-25,286.6,288.0,291.8,286.6,36120.0,-0.52,-1.5
2000-01-26,286.5,286.8,287.5,284.7,19630.0,-0.03,-0.1
2000-01-27,287.1,286.2,287.5,285.6,14490.0,0.21,0.6
2000-01-28,286.0,289.6,290.7,283.0,15190.0,-0.38,-1.1
2000-01-29,286.07,288.4,289.6,283.63,14610.0,0.02,0.07
2000-01-30,286.13,287.2,288.5,284.27,14030.0,0.02,0.06
2000-01-31,286.2,286.0,287.4,284.9,13450.0,0.02,0.07
2000-02-01,285.4,286.0,286.5,285.0,18560.0,-0.28,-0.8
2000-02-02,287.7,285.4,289.2,285.3,21680.0,0.81,2.3
2000-02-03,289.9,287.7,290.9,287.0,111570.0,0.76,2.2
2000-02-04,313.0,290.2,318.5,289.9,81000.0,7.97,23.1
2000-02-05,310.17,299.47,321.3,293.93,67740.0,-0.9,-2.83
2000-02-06,307.33,308.73,324.1,297.97,54480.0,-0.92,-2.84
2000-02-07,304.5,318.0,326.9,302.0,41220.0,-0.92,-2.83
2000-02-08,301.7,306.0,308.0,298.5,43960.0,-0.92,-2.8
2000-02-09,308.6,301.7,314.0,301.7,68350.0,2.29,6.9
2000-02-10,318.7,308.5,319.0,308.5,33900.0,3.27,10.1
2000-02-11,313.6,318.3,320.4,311.0,26790.0,-1.6,-5.1
2000-02-12,312.73,316.73,318.13,310.1,27593.33,-0.28,-0.87
2000-02-13,311.87,315.17,315.87,309.2,28396.67,-0.27,-0.86
2000-02-14,311.0,313.6,313.6,308.3,29200.0,-0.28,-0.87
2000-02-15,304.1,310.7,311.5,303.8,26790.0,-2.22,-6.9
2000-02-16,305.0,304.2,306.0,299.7,56340.0,0.3,0.9
2000-02-17,303.8,305.3,312.5,300.0,11810.0,-0.39,-1.2
2000-02-18,307.3,303.3,307.8,302.0,19380.0,1.15,3.5
2000-02-19,307.4,304.38,308.2,302.55,21007.5,0.03,0.1
2000-02-20,307.5,305.45,308.6,303.1,22635.0,0.03,0.1
2000-02-21,307.6,306.53,309.0,303.65,24262.5,0.03,0.1
2000-02-22,307.7,307.6,309.4,304.2,25890.0,0.03,0.1
2000-02-23,302.4,307.7,308.2,302.3,28340.0,-1.72,-5.3
2000-02-24,300.9,302.4,303.5,300.2,50880.0,-0.5,-1.5
2000-02-25,294.6,300.9,301.2,293.5,12400.0,-2.09,-6.3
2000-02-26,294.47,298.77,299.27,293.37,14820.0,-0.04,-0.13
2000-02-27,294.33,296.63,297.33,293.23,17240.0,-0.05,-0.14
2000-02-28,294.2,294.5,295.4,293.1,19660.0,-0.04,-0.13
2000-02-29,294.2,293.8,296.5,293.5,14910.0,0.0,0.0
2000-03-01,293.3,294.2,296.2,292.8,28150.0,-0.31,-0.9
2000-03-02,289.7,292.9,293.3,289.4,14360.0,-1.23,-3.6
2000-03-03,290.3,289.7,292.2,289.2,11760.0,0.21,0.6
2000-03-04,290.0,290.0,292.03,289.2,17623.33,-0.1,-0.3
2000-03-05,289.7,290.3,291.87,289.2,23486.67,-0.1,-0.3
2000-03-06,289.4,290.6,291.7,289.2,29350.0,-0.1,-0.3
2000-03-07,293.7,289.5,295.4,289.4,23100.0,1.49,4.3
2000-03-08,290.4,293.8,295.0,289.8,20160.0,-1.12,-3.3
2000-03-09,292.7,290.0,293.0,289.6,33680.0,0.79,2.3
2000-03-10,290.0,292.7,294.0,289.4,15870.0,-0.92,-2.7
2000-03-11,290.5,291.8,293.63,289.6,15280.0,0.17,0.5
2000-03-12,291.0,290.9,293.27,289.8,14690.0,0.17,0.5
2000-03-13,291.5,290.0,292.9,290.0,14100.0,0.17,0.5
2000-03-14,289.7,291.7,292.6,289.2,10300.0,-0.62,-1.8
2000-03-15,289.6,289.6,291.0,289.3,39830.0,-0.03,-0.1
2000-03-16,287.0,289.9,290.4,286.3,22020.0,-0.9,-2.6
2000-03-17,285.0,286.8,287.0,283.6,17900.0,-0.7,-2.0
2000-03-18,285.5,286.2,286.97,283.9,26163.33,0.18,0.5
2000-03-19,286.0,285.6,286.93,284.2,34426.67,0.18,0.5
2000-03-20,286.5,285.0,286.9,284.5,42690.0,0.17,0.5
2000-03-21,290.4,286.5,292.0,284.2,13800.0,1.36,3.9
2000-03-22,288.3,290.4,291.1,288.1,36660.0,-0.72,-2.1
2000-03-23,285.4,288.4,288.6,283.8,12050.0,-1.01,-2.9
2000-03-24,285.1,285.6,286.1,284.6,51450.0,-0.11,-0.3
2000-03-25,283.57,285.53,285.87,283.13,41683.33,-0.54,-1.53
2000-03-26,282.03,285.47,285.63,281.67,31916.67,-0.54,-1.54
2000-03-27,280.5,285.4,285.4,280.2,22150.0,-0.54,-1.53
2000-03-28,279.5,280.8,281.8,279.4,17780.0,-0.36,-1.0
2000-03-29,275.9,279.5,280.2,274.8,12110.0,-1.29,-3.6
2000-03-30,279.1,279.0,280.2,277.9,29780.0,1.16,3.2
2000-03-31,281.4,279.6,283.0,277.5,31830.0,0.82,2.3
