"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"10/15/2024","4.6801","4.6956","4.7029","4.6700","","-0.23%"
"10/14/2024","4.6910","4.6945","4.7101","4.6762","","0.03%"
"10/11/2024","4.6894","4.7241","4.7311","4.6853","","-0.62%"
"10/10/2024","4.7186","4.7346","4.7570","4.7198","","-0.19%"
"10/09/2024","4.7276","4.7563","4.7585","4.7122","","-0.45%"
"10/08/2024","4.7489","4.7703","4.7760","4.7335","","-0.40%"
"10/07/2024","4.7682","4.7488","4.7766","4.7417","","0.66%"
"10/04/2024","4.7369","4.7204","4.7674","4.6820","","0.45%"
"10/03/2024","4.7155","4.6819","4.7375","4.6812","","0.85%"
"10/02/2024","4.6756","4.6363","4.6947","4.6249","","0.92%"
"10/01/2024","4.6329","4.6171","4.6520","4.6093","","0.40%"
"09/30/2024","4.6144","4.6199","4.6278","4.5825","","0.10%"
"09/27/2024","4.6098","4.6199","4.6334","4.6012","","-0.18%"
"09/26/2024","4.6181","4.6613","4.6657","4.6120","","-0.86%"
"09/25/2024","4.6580","4.6403","4.6656","4.6297","","0.41%"
"09/24/2024","4.6389","4.6727","4.6846","4.6368","","-0.65%"
"09/23/2024","4.6694","4.6701","4.6812","4.6601","","0.18%"
"09/20/2024","4.6611","4.6888","4.6989","4.6638","","-0.56%"
"09/19/2024","4.6872","4.7050","4.7326","4.6803","","-0.22%"
"09/18/2024","4.6975","4.7028","4.7176","4.6676","","-0.07%"
"09/17/2024","4.7009","4.6873","4.7084","4.6767","","0.54%"
"09/16/2024","4.6755","4.6880","4.6971","4.6718","","-0.09%"
"09/13/2024","4.6797","4.6996","4.7063","4.6764","","-0.30%"
"09/12/2024","4.6937","4.7390","4.7503","4.6933","","-0.89%"
"09/11/2024","4.7360","4.7312","4.7580","4.7120","","0.19%"
"09/10/2024","4.7269","4.7633","4.7717","4.7235","","-0.74%"
"09/09/2024","4.7623","4.7470","4.7765","4.7435","","0.16%"
"09/06/2024","4.7546","4.7391","4.7660","4.7089","","0.36%"
"09/05/2024","4.7377","4.7832","4.7937","4.7277","","-0.88%"
"09/04/2024","4.7800","4.8144","4.8222","4.7783","","-0.64%"
"09/03/2024","4.8106","4.8064","4.8215","4.7973","","0.15%"
"09/02/2024","4.8033","4.8013","4.8200","4.7953","","0.42%"
"08/30/2024","4.7832","4.7826","4.8127","4.7688","","0.12%"
"08/29/2024","4.7774","4.7821","4.7980","4.7671","","0.08%"
"08/28/2024","4.7736","4.7601","4.7870","4.7538","","0.33%"
"08/27/2024","4.7578","4.7747","4.7902","4.7531","","-0.27%"
"08/26/2024","4.7707","4.7691","4.7807","4.7516","","0.43%"
"08/23/2024","4.7505","4.8350","4.8385","4.7551","","-1.47%"
"08/22/2024","4.8212","4.7991","4.8467","4.7893","","0.67%"
"08/21/2024","4.7891","4.7941","4.8144","4.7716","","-0.02%"
"08/20/2024","4.7901","4.8243","4.8250","4.7762","","-0.51%"
"08/19/2024","4.8147","4.8354","4.8426","4.8099","","-0.26%"
"08/16/2024","4.8273","4.8949","4.9033","4.8277","","-1.22%"
"08/15/2024","4.8871","4.9169","4.9302","4.8745","","-0.46%"
"08/14/2024","4.9095","4.8941","4.9211","4.8717","","0.58%"
"08/13/2024","4.8812","4.8976","4.9075","4.8854","","-0.33%"
"08/12/2024","4.8972","4.9174","4.9209","4.8948","","-0.27%"
"08/09/2024","4.9103","4.9107","4.9279","4.8967","","0.01%"
"08/08/2024","4.9097","4.9569","4.9639","4.9051","","-0.84%"
"08/07/2024","4.9514","4.9623","4.9730","4.9469","","-0.03%"
"08/06/2024","4.9528","4.9745","4.9830","4.9456","","-0.29%"
"08/05/2024","4.9673","4.9258","4.9809","4.9111","","0.82%"
"08/02/2024","4.9270","4.9107","4.9390","4.8902","","0.35%"
"08/01/2024","4.9099","4.9247","4.9282","4.8969","","-0.22%"
"07/31/2024","4.9209","4.9516","4.9672","4.9170","","-0.52%"
