"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"12/31/2010","4.5618","4.5602","4.5736","4.5450","","-0.07%"
"12/30/2010","4.5649","4.5509","4.5732","4.5471","","0.24%"
"12/29/2010","4.5541","4.5541","4.5752","4.5461","","-0.03%"
"12/28/2010","4.5556","4.5492","4.5724","4.5437","","0.03%"
"12/27/2010","4.5541","4.5510","4.5755","4.5358","","-0.07%"
"12/24/2010","4.5571","4.5338","4.5729","4.5113","","0.43%"
"12/23/2010","4.5378","4.5338","4.5536","4.5133","","0.02%"
"12/22/2010","4.5371","4.5278","4.5541","4.5162","","0.17%"
"12/21/2010","4.5296","4.5199","4.5471","4.5148","","0.21%"
"12/20/2010","4.5200","4.5189","4.5386","4.5045","","-0.26%"
"12/17/2010","4.5316","4.5198","4.5386","4.5113","","0.19%"
"12/16/2010","4.5229","4.5196","4.5372","4.5018","","0.03%"
"12/15/2010","4.5215","4.5097","4.5314","4.5011","","0.19%"
"12/14/2010","4.5129","4.5024","4.5307","4.4994","","0.17%"
"12/13/2010","4.5054","4.5151","4.5344","4.4994","","-0.32%"
"12/10/2010","4.5198","4.5165","4.5257","4.5113","","0.02%"
"12/09/2010","4.5190","4.5181","4.5358","4.4989","","-0.08%"
"12/08/2010","4.5228","4.5156","4.5418","4.5073","","0.12%"
"12/07/2010","4.5173","4.5117","4.5260","4.4990","","0.03%"
"12/06/2010","4.5159","4.5019","4.5195","4.5004","","0.20%"
"12/03/2010","4.5068","4.5048","4.5160","4.4946","","-0.03%"
"12/02/2010","4.5081","4.5083","4.5286","4.4829","","-0.04%"
"12/01/2010","4.5099","4.5237","4.5357","4.4991","","-0.39%"
"11/30/2010","4.5275","4.5324","4.5478","4.5222","","-0.20%"
"11/29/2010","4.5365","4.5324","4.5549","4.5188","","-0.01%"
"11/26/2010","4.5369","4.5167","4.5499","4.5107","","0.39%"
"11/25/2010","4.5194","4.5086","4.5330","4.5086","","0.15%"
"11/24/2010","4.5127","4.5206","4.5439","4.5071","","-0.21%"
"11/23/2010","4.5220","4.5099","4.5372","4.4978","","0.19%"
"11/22/2010","4.5135","4.5056","4.5180","4.4895","","0.02%"
"11/19/2010","4.5128","4.5072","4.5158","4.4894","","-0.10%"
"11/18/2010","4.5173","4.5119","4.5269","4.4935","","-0.12%"
"11/17/2010","4.5228","4.5049","4.5312","4.4947","","0.37%"
"11/16/2010","4.5062","4.4871","4.5141","4.4737","","0.11%"
"11/15/2010","4.5012","4.4913","4.5289","4.4882","","0.13%"
"11/12/2010","4.4952","4.4854","4.5079","4.4717","","0.10%"
"11/11/2010","4.4906","4.4539","4.4996","4.4456","","0.70%"
"11/10/2010","4.4596","4.4450","4.4760","4.4343","","0.42%"
"11/09/2010","4.4409","4.4319","4.4575","4.4125","","0.10%"
"11/08/2010","4.4364","4.4498","4.4737","4.4260","","-0.40%"
"11/05/2010","4.4541","4.4525","4.4716","4.4304","","-0.02%"
"11/04/2010","4.4550","4.4521","4.4617","4.4290","","0.02%"
"11/03/2010","4.4543","4.4584","4.4771","4.4383","","-0.19%"
"11/02/2010","4.4627","4.4576","4.4743","4.4483","","-0.02%"
"11/01/2010","4.4638","4.4837","4.4954","4.4531","","-0.54%"
"10/29/2010","4.4882","4.4741","4.5135","4.4685","","0.23%"
"10/28/2010","4.4780","4.4840","4.4886","4.4569","","-0.24%"
"10/27/2010","4.4888","4.4834","4.5116","4.4725","","0.01%"
"10/26/2010","4.4885","4.4814","4.4960","4.4655","","0.05%"
"10/25/2010","4.4862","4.4913","4.4977","4.4754","","-0.24%"
"10/22/2010","4.4970","4.4864","4.5030","4.4708","","0.18%"
"10/21/2010","4.4890","4.4865","4.5126","4.4724","","-0.06%"
"10/20/2010","4.4915","4.5074","4.5241","4.4849","","-0.40%"
"10/19/2010","4.5097","4.4895","4.5130","4.4804","","0.35%"
"10/18/2010","4.4941","4.4916","4.5217","4.4821","","0.07%"
"10/15/2010","4.4911","4.4829","4.5118","4.4717","","0.09%"
"10/14/2010","4.4871","4.4745","4.5006","4.4633","","0.21%"
"10/13/2010","4.4779","4.4801","4.4947","4.4568","","-0.25%"
"10/12/2010","4.4893","4.5022","4.5224","4.4801","","-0.40%"
"10/11/2010","4.5075","4.4867","4.5239","4.4791","","0.45%"
"10/08/2010","4.4874","4.4686","4.5227","4.4630","","0.23%"
"10/07/2010","4.4771","4.4650","4.4865","4.4511","","0.13%"
"10/06/2010","4.4711","4.4957","4.5019","4.4601","","-0.63%"
"10/05/2010","4.4995","4.5014","4.5716","4.4897","","-0.13%"
"10/04/2010","4.5052","4.5049","4.5644","4.4899","","-0.12%"
"10/01/2010","4.5105","4.5271","4.5404","4.5004","","-0.55%"
"09/30/2010","4.5354","4.5455","4.5666","4.5122","","-0.31%"
"09/29/2010","4.5496","4.5613","4.6071","4.5422","","-0.34%"
"09/28/2010","4.5653","4.5664","4.5797","4.5495","","-0.13%"
"09/27/2010","4.5713","4.5745","4.5839","4.5480","","0.02%"
"09/24/2010","4.5704","4.5729","4.6151","4.5641","","-0.14%"
"09/23/2010","4.5769","4.5596","4.5934","4.5596","","0.00%"
"09/22/2010","4.5771","4.5831","4.6006","4.5551","","-0.16%"
"09/21/2010","4.5844","4.5752","4.6029","4.5688","","0.13%"
"09/20/2010","4.5785","4.5687","4.5996","4.5566","","0.10%"
"09/17/2010","4.5739","4.5733","4.5990","4.5627","","-0.08%"
"09/16/2010","4.5777","4.5727","4.6109","4.5663","","0.01%"
"09/15/2010","4.5771","4.5530","4.5983","4.5490","","0.42%"
"09/14/2010","4.5581","4.5455","4.5709","4.5396","","0.22%"
"09/13/2010","4.5480","4.5434","4.5624","4.5297","","-0.13%"
"09/10/2010","4.5541","4.5493","4.5676","4.5332","","0.09%"
"09/09/2010","4.5498","4.5641","4.5705","4.5274","","-0.28%"
"09/08/2010","4.5627","4.5847","4.6075","4.5433","","-0.57%"
"09/07/2010","4.5888","4.5850","4.6147","4.5795","","0.00%"
"09/06/2010","4.5887","4.5784","4.6005","4.5673","","0.13%"
"09/03/2010","4.5828","4.5708","4.6009","4.5644","","0.16%"
"09/02/2010","4.5757","4.5701","4.5942","4.5570","","0.01%"
"09/01/2010","4.5751","4.5915","4.5950","4.5533","","-0.40%"
"08/31/2010","4.5934","4.5965","4.6030","4.5812","","-0.15%"
"08/30/2010","4.6002","4.6056","4.6108","4.5767","","-0.17%"
"08/27/2010","4.6080","4.6089","4.6429","4.5865","","-0.10%"
"08/26/2010","4.6126","4.6267","4.6315","4.6050","","-0.37%"
"08/25/2010","4.6297","4.6373","4.6512","4.6159","","-0.23%"
"08/24/2010","4.6404","4.6272","4.6579","4.6246","","0.24%"
"08/23/2010","4.6294","4.6381","4.6490","4.6127","","-0.31%"
"08/20/2010","4.6437","4.6405","4.6506","4.6253","","-0.05%"
"08/19/2010","4.6459","4.6521","4.6737","4.6343","","-0.21%"
"08/18/2010","4.6555","4.6713","4.6794","4.6453","","-0.39%"
"08/17/2010","4.6738","4.6720","4.6909","4.6503","","-0.07%"
"08/16/2010","4.6773","4.6859","4.7071","4.6593","","-0.35%"
"08/13/2010","4.6939","4.7013","4.7113","4.6859","","-0.27%"
"08/12/2010","4.7068","4.7068","4.7211","4.6999","","-0.10%"
"08/11/2010","4.7115","4.7177","4.7367","4.7043","","-0.18%"
"08/10/2010","4.7201","4.7200","4.7355","4.7128","","-0.07%"
"08/09/2010","4.7234","4.7248","4.7471","4.7073","","-0.17%"
"08/06/2010","4.7316","4.7339","4.7534","4.7184","","-0.14%"
"08/05/2010","4.7383","4.7439","4.7601","4.7230","","-0.17%"
"08/04/2010","4.7464","4.7477","4.7670","4.7395","","-0.28%"
"08/03/2010","4.7599","4.7516","4.7698","4.7331","","0.12%"
"08/02/2010","4.7540","4.7575","4.7637","4.7341","","-0.11%"
"07/30/2010","4.7594","4.7547","4.7806","4.7476","","0.00%"
"07/29/2010","4.7592","4.7562","4.7748","4.7407","","0.04%"
"07/28/2010","4.7571","4.7488","4.7725","4.7347","","0.13%"
"07/27/2010","4.7511","4.7496","4.7643","4.7337","","-0.02%"
"07/26/2010","4.7521","4.7534","4.7589","4.7441","","-0.03%"
"07/23/2010","4.7534","4.7522","4.7739","4.7414","","-0.07%"
"07/22/2010","4.7568","4.7617","4.7767","4.7394","","-0.21%"
"07/21/2010","4.7668","4.7621","4.7805","4.7473","","0.07%"
"07/20/2010","4.7637","4.7592","4.7788","4.7410","","-0.02%"
"07/19/2010","4.7645","4.7568","4.7799","4.7481","","0.09%"
"07/16/2010","4.7600","4.7516","4.7799","4.7457","","0.11%"
"07/15/2010","4.7550","4.7683","4.7763","4.7419","","-0.38%"
"07/14/2010","4.7729","4.7752","4.7806","4.7538","","-0.11%"
"07/13/2010","4.7783","4.7762","4.7864","4.7554","","-0.03%"
"07/12/2010","4.7799","4.7743","4.7834","4.7610","","0.06%"
"07/09/2010","4.7772","4.7798","4.7881","4.7625","","-0.18%"
"07/08/2010","4.7858","4.7877","4.8065","4.7694","","-0.11%"
"07/07/2010","4.7910","4.7806","4.8096","4.7724","","0.17%"
"07/06/2010","4.7828","4.7832","4.7993","4.7650","","-0.10%"
"07/05/2010","4.7877","4.7812","4.8015","4.7646","","0.03%"
"07/02/2010","4.7861","4.7691","4.8108","4.7645","","0.25%"
"07/01/2010","4.7744","4.7745","4.7833","4.7602","","-0.11%"
"06/30/2010","4.7797","4.7632","4.7828","4.7620","","0.25%"
"06/29/2010","4.7676","4.7609","4.7835","4.7467","","0.10%"
"06/28/2010","4.7628","4.7621","4.7753","4.7459","","-0.11%"
"06/25/2010","4.7680","4.7620","4.7955","4.7557","","0.05%"
"06/24/2010","4.7656","4.7469","4.7746","4.7343","","0.31%"
"06/23/2010","4.7511","4.7432","4.7604","4.7321","","0.09%"
"06/22/2010","4.7466","4.7445","4.7607","4.7279","","-0.05%"
"06/21/2010","4.7492","4.7263","4.7639","4.7186","","0.07%"
"06/18/2010","4.7457","4.7397","4.7639","4.7313","","0.06%"
"06/17/2010","4.7429","4.7364","4.7658","4.7289","","0.04%"
"06/16/2010","4.7408","4.7408","4.7583","4.7262","","-0.06%"
"06/15/2010","4.7437","4.7364","4.7598","4.7276","","0.06%"
"06/14/2010","4.7408","4.7494","4.7583","4.7276","","-0.21%"
"06/11/2010","4.7510","4.7520","4.7702","4.7420","","-0.04%"
"06/10/2010","4.7528","4.7711","4.7808","4.7409","","-0.44%"
"06/09/2010","4.7740","4.7719","4.7866","4.7629","","-0.02%"
"06/08/2010","4.7749","4.7757","4.7858","4.7579","","-0.03%"
"06/07/2010","4.7765","4.7739","4.7967","4.7636","","-0.01%"
"06/04/2010","4.7769","4.7683","4.7857","4.7526","","0.13%"
"06/03/2010","4.7706","4.7687","4.7725","4.7576","","-0.05%"
"06/02/2010","4.7732","4.7687","4.7911","4.7613","","0.00%"
"06/01/2010","4.7732","4.7613","4.7830","4.7493","","0.22%"
"05/31/2010","4.7628","4.7636","4.7699","4.7434","","-0.08%"
"05/28/2010","4.7667","4.7630","4.7725","4.7572","","0.01%"
"05/27/2010","4.7660","4.7602","4.7872","4.7438","","0.03%"
"05/26/2010","4.7647","4.7588","4.7842","4.7445","","0.03%"
"05/25/2010","4.7634","4.7446","4.7865","4.7418","","0.32%"
"05/24/2010","4.7483","4.7449","4.7586","4.7248","","0.04%"
"05/21/2010","4.7464","4.7481","4.7586","4.7346","","-0.01%"
"05/20/2010","4.7468","4.7408","4.7599","4.7296","","0.09%"
"05/19/2010","4.7427","4.7339","4.7605","4.7221","","0.23%"
"05/18/2010","4.7317","4.7408","4.7587","4.7188","","-0.23%"
"05/17/2010","4.7424","4.7398","4.7718","4.7327","","-0.01%"
"05/14/2010","4.7431","4.7363","4.7477","4.7240","","0.09%"
"05/13/2010","4.7386","4.7229","4.7528","4.7159","","0.25%"
"05/12/2010","4.7270","4.7295","4.7525","4.7132","","-0.11%"
"05/11/2010","4.7320","4.7255","4.7535","4.7128","","0.09%"
"05/10/2010","4.7279","4.7202","4.7432","4.7038","","-0.01%"
"05/07/2010","4.7285","4.7242","4.7600","4.7181","","0.11%"
"05/06/2010","4.7235","4.7419","4.7567","4.7081","","-0.40%"
"05/05/2010","4.7427","4.7356","4.7442","4.7287","","0.16%"
"05/04/2010","4.7353","4.7352","4.7488","4.7096","","-0.05%"
"05/03/2010","4.7378","4.7380","4.7523","4.7323","","-0.03%"
"04/30/2010","4.7391","4.7246","4.7561","4.7170","","0.23%"
"04/29/2010","4.7283","4.7352","4.7547","4.7143","","-0.12%"
"04/28/2010","4.7340","4.7233","4.7553","4.7111","","0.12%"
"04/27/2010","4.7285","4.7138","4.7354","4.7048","","0.26%"
"04/26/2010","4.7161","4.7129","4.7358","4.6929","","-0.05%"
"04/23/2010","4.7184","4.7272","4.7529","4.7080","","-0.25%"
"04/22/2010","4.7302","4.7132","4.7331","4.6962","","0.34%"
"04/21/2010","4.7140","4.7103","4.7225","4.6876","","0.01%"
"04/20/2010","4.7133","4.7185","4.7435","4.7044","","-0.13%"
"04/19/2010","4.7193","4.7219","4.7558","4.7141","","-0.10%"
"04/16/2010","4.7242","4.7200","4.7469","4.7021","","-0.04%"
"04/15/2010","4.7260","4.7217","4.7350","4.7157","","0.03%"
"04/14/2010","4.7247","4.7392","4.7422","4.7173","","-0.33%"
"04/13/2010","4.7402","4.7376","4.7447","4.7302","","-0.03%"
"04/12/2010","4.7416","4.7231","4.7508","4.7062","","0.37%"
"04/09/2010","4.7242","4.7302","4.7544","4.7158","","-0.18%"
"04/08/2010","4.7325","4.7410","4.7606","4.7218","","-0.17%"
"04/07/2010","4.7404","4.7392","4.7561","4.7217","","-0.03%"
