"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"10/15/2024","33.312","33.262","33.450","33.230","","0.18%"
"10/14/2024","33.250","33.175","33.350","33.100","","0.33%"
"10/11/2024","33.140","33.445","33.495","33.110","","-0.81%"
"10/10/2024","33.410","33.525","33.675","33.415","","-0.21%"
"10/09/2024","33.480","33.580","33.595","33.295","","-0.15%"
"10/08/2024","33.530","33.480","33.615","33.390","","0.18%"
"10/07/2024","33.470","33.330","33.525","33.280","","0.66%"
"10/04/2024","33.250","33.130","33.460","32.860","","0.45%"
"10/03/2024","33.100","32.860","33.250","32.855","","0.85%"
"10/02/2024","32.820","32.540","32.950","32.460","","0.92%"
"10/01/2024","32.520","32.405","32.650","32.350","","0.40%"
"09/30/2024","32.390","32.390","32.480","32.135","","0.22%"
"09/27/2024","32.320","32.390","32.500","32.260","","-0.19%"
"09/26/2024","32.380","32.780","32.800","32.335","","-1.16%"
"09/25/2024","32.760","32.630","32.810","32.555","","0.43%"
"09/24/2024","32.620","32.950","33.010","32.605","","-0.94%"
"09/23/2024","32.930","32.930","33.030","32.845","","0.18%"
"09/20/2024","32.870","33.140","33.185","32.885","","-0.78%"
"09/19/2024","33.130","33.320","33.530","33.055","","-0.42%"
"09/18/2024","33.270","33.360","33.420","33.055","","-0.24%"
"09/17/2024","33.350","33.250","33.400","33.175","","0.54%"
"09/16/2024","33.170","33.255","33.320","33.140","","-0.09%"
"09/13/2024","33.200","33.450","33.480","33.185","","-0.63%"
"09/12/2024","33.410","33.740","33.820","33.405","","-0.92%"
"09/11/2024","33.720","33.690","33.870","33.525","","0.18%"
"09/10/2024","33.660","33.885","33.945","33.635","","-0.65%"
"09/09/2024","33.880","33.650","33.985","33.650","","0.50%"
"09/06/2024","33.710","33.615","33.785","33.360","","0.30%"
"09/05/2024","33.610","34.020","34.095","33.545","","-1.15%"
"09/04/2024","34.000","34.285","34.320","33.970","","-0.76%"
"09/03/2024","34.260","34.210","34.340","34.145","","0.20%"
"09/02/2024","34.190","34.045","34.250","34.025","","0.80%"
"08/30/2024","33.920","33.955","34.125","33.820","","-0.03%"
"08/29/2024","33.930","34.075","34.095","33.890","","-0.26%"
