"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"12/31/2010","30.055","30.132","30.132","29.978","","-0.26%"
"12/30/2010","30.132","30.142","30.153","30.128","","-0.03%"
"12/29/2010","30.142","30.173","30.175","30.142","","-0.10%"
"12/28/2010","30.173","30.183","30.198","30.167","","-0.03%"
"12/27/2010","30.183","30.185","30.192","30.153","","0.01%"
"12/24/2010","30.178","30.153","30.193","30.153","","0.08%"
"12/23/2010","30.153","30.153","30.168","30.130","","0.00%"
"12/22/2010","30.153","30.167","30.195","30.150","","-0.05%"
"12/21/2010","30.167","30.178","30.195","30.150","","-0.04%"
"12/20/2010","30.178","30.160","30.215","30.160","","0.13%"
"12/17/2010","30.140","30.130","30.150","30.097","","0.03%"
"12/16/2010","30.130","30.105","30.138","30.050","","0.08%"
"12/15/2010","30.105","30.035","30.105","30.025","","0.23%"
"12/14/2010","30.035","30.040","30.045","30.000","","-0.02%"
"12/13/2010","30.040","30.080","30.090","30.025","","-0.10%"
"12/10/2010","30.070","30.080","30.090","30.055","","-0.03%"
"12/09/2010","30.080","30.125","30.125","30.055","","-0.15%"
"12/08/2010","30.125","30.055","30.215","30.045","","0.23%"
"12/07/2010","30.055","30.025","30.058","29.985","","0.10%"
"12/06/2010","30.025","30.020","30.045","30.010","","-0.02%"
"12/03/2010","30.030","30.005","30.070","30.005","","0.08%"
"12/02/2010","30.005","30.030","30.075","29.965","","-0.08%"
"12/01/2010","30.030","30.205","30.210","30.015","","-0.58%"
"11/30/2010","30.205","30.230","30.245","30.180","","-0.08%"
"11/29/2010","30.230","30.260","30.335","30.132","","-0.17%"
"11/26/2010","30.280","30.055","30.313","30.045","","0.75%"
"11/25/2010","30.055","30.030","30.080","30.030","","0.08%"
"11/24/2010","30.030","30.095","30.095","30.020","","-0.22%"
"11/23/2010","30.095","30.000","30.160","29.993","","0.32%"
"11/22/2010","30.000","29.935","30.015","29.905","","0.07%"
"11/19/2010","29.980","29.920","29.995","29.865","","0.20%"
"11/18/2010","29.920","29.995","30.055","29.915","","-0.25%"
"11/17/2010","29.995","29.935","30.050","29.930","","0.20%"
"11/16/2010","29.935","29.920","29.945","29.840","","0.05%"
"11/15/2010","29.920","29.870","30.020","29.850","","0.22%"
"11/12/2010","29.855","29.765","29.890","29.680","","0.30%"
"11/11/2010","29.765","29.580","29.795","29.552","","0.63%"
"11/10/2010","29.580","29.595","29.610","29.540","","-0.05%"
"11/09/2010","29.595","29.650","29.655","29.485","","-0.19%"
"11/08/2010","29.650","29.640","29.677","29.630","","0.03%"
"11/05/2010","29.640","29.675","29.685","29.620","","-0.12%"
"11/04/2010","29.675","29.705","29.753","29.675","","-0.10%"
"11/03/2010","29.705","29.795","29.795","29.700","","-0.30%"
"11/02/2010","29.795","29.865","29.888","29.785","","-0.23%"
"11/01/2010","29.865","29.920","29.935","29.840","","-0.25%"
"10/29/2010","29.940","29.945","29.995","29.935","","-0.02%"
"10/28/2010","29.945","29.985","29.993","29.940","","-0.13%"
"10/27/2010","29.985","29.905","30.020","29.895","","0.27%"
"10/26/2010","29.905","29.870","29.935","29.847","","0.12%"
"10/25/2010","29.870","29.910","29.920","29.830","","-0.18%"
"10/22/2010","29.925","29.865","29.978","29.840","","0.20%"
"10/21/2010","29.865","29.855","29.907","29.820","","0.03%"
"10/20/2010","29.855","30.015","30.040","29.855","","-0.53%"
"10/19/2010","30.015","29.850","30.022","29.845","","0.55%"
"10/18/2010","29.850","29.860","29.940","29.850","","-0.02%"
"10/15/2010","29.855","29.850","29.855","29.800","","0.02%"
"10/14/2010","29.850","29.860","29.870","29.775","","-0.03%"
"10/13/2010","29.860","29.895","29.945","29.817","","-0.12%"
"10/12/2010","29.895","30.055","30.115","29.895","","-0.53%"
"10/11/2010","30.055","29.970","30.073","29.907","","0.42%"
"10/08/2010","29.930","29.965","30.115","29.920","","-0.12%"
"10/07/2010","29.965","29.905","29.980","29.815","","0.20%"
"10/06/2010","29.905","30.075","30.077","29.895","","-0.57%"
"10/05/2010","30.075","30.170","30.240","30.073","","-0.31%"
"10/04/2010","30.170","30.190","30.195","30.125","","-0.05%"
"10/01/2010","30.185","30.325","30.325","30.155","","-0.46%"
"09/30/2010","30.325","30.420","30.440","30.255","","-0.31%"
"09/29/2010","30.420","30.525","30.528","30.415","","-0.34%"
"09/28/2010","30.525","30.585","30.605","30.525","","-0.20%"
"09/27/2010","30.585","30.670","30.670","30.565","","-0.34%"
"09/24/2010","30.690","30.690","30.800","30.653","","0.00%"
"09/23/2010","30.690","30.680","30.720","30.665","","0.03%"
"09/22/2010","30.680","30.720","30.720","30.630","","-0.13%"
"09/21/2010","30.720","30.740","30.830","30.720","","-0.07%"
"09/20/2010","30.740","30.745","30.795","30.663","","-0.02%"
"09/17/2010","30.745","30.785","30.860","30.715","","-0.13%"
"09/16/2010","30.785","30.845","30.940","30.785","","-0.19%"
"09/15/2010","30.845","30.760","30.900","30.720","","0.28%"
"09/14/2010","30.760","30.745","30.820","30.725","","0.05%"
"09/13/2010","30.745","30.775","30.790","30.720","","-0.15%"
"09/10/2010","30.790","30.865","30.875","30.765","","-0.24%"
"09/09/2010","30.865","30.965","30.970","30.790","","-0.32%"
"09/08/2010","30.965","31.180","31.180","30.960","","-0.69%"
"09/07/2010","31.180","31.145","31.270","31.145","","0.11%"
"09/06/2010","31.145","31.165","31.170","31.100","","-0.08%"
"09/03/2010","31.170","31.150","31.185","31.120","","0.06%"
"09/02/2010","31.150","31.165","31.245","31.125","","-0.05%"
"09/01/2010","31.165","31.275","31.275","31.140","","-0.35%"
"08/31/2010","31.275","31.295","31.345","31.265","","-0.06%"
"08/30/2010","31.295","31.305","31.310","31.270","","-0.08%"
"08/27/2010","31.320","31.360","31.360","31.290","","-0.13%"
"08/26/2010","31.360","31.480","31.480","31.335","","-0.38%"
"08/25/2010","31.480","31.545","31.550","31.465","","-0.21%"
"08/24/2010","31.545","31.475","31.570","31.475","","0.22%"
"08/23/2010","31.475","31.525","31.530","31.450","","-0.14%"
"08/20/2010","31.520","31.560","31.570","31.480","","-0.13%"
"08/19/2010","31.560","31.640","31.640","31.525","","-0.25%"
"08/18/2010","31.640","31.735","31.740","31.595","","-0.30%"
"08/17/2010","31.735","31.815","31.820","31.715","","-0.25%"
"08/16/2010","31.815","31.895","31.930","31.815","","-0.27%"
"08/13/2010","31.900","31.940","31.940","31.870","","-0.13%"
"08/12/2010","31.940","31.935","31.960","31.915","","0.02%"
"08/11/2010","31.935","31.955","31.980","31.900","","-0.06%"
"08/10/2010","31.955","31.965","32.179","31.950","","-0.03%"
"08/09/2010","31.965","32.015","32.020","31.930","","-0.17%"
"08/06/2010","32.020","32.090","32.090","32.015","","-0.22%"
"08/05/2010","32.090","32.150","32.160","32.060","","-0.19%"
"08/04/2010","32.150","32.170","32.200","32.145","","-0.06%"
"08/03/2010","32.170","32.195","32.200","32.100","","-0.08%"
"08/02/2010","32.195","32.245","32.245","32.160","","-0.14%"
"07/30/2010","32.240","32.270","32.300","32.235","","-0.03%"
"07/29/2010","32.250","32.240","32.360","32.130","","0.02%"
"07/28/2010","32.245","32.190","32.355","32.100","","0.16%"
"07/27/2010","32.195","32.205","32.215","32.180","","-0.03%"
"07/26/2010","32.205","32.255","32.255","32.200","","-0.08%"
"07/23/2010","32.230","32.245","32.265","32.225","","-0.05%"
"07/22/2010","32.245","32.325","32.330","32.150","","-0.25%"
"07/21/2010","32.325","32.295","32.325","32.265","","0.09%"
"07/20/2010","32.295","32.285","32.300","32.250","","0.03%"
"07/19/2010","32.285","32.245","32.330","32.175","","0.12%"
"07/16/2010","32.245","32.215","32.270","32.205","","0.09%"
"07/15/2010","32.215","32.315","32.325","32.210","","-0.31%"
"07/14/2010","32.315","32.345","32.345","32.305","","-0.09%"
"07/13/2010","32.345","32.355","32.385","32.345","","-0.03%"
"07/12/2010","32.355","32.355","32.390","32.345","","0.00%"
"07/09/2010","32.355","32.415","32.420","32.330","","-0.19%"
"07/08/2010","32.415","32.455","32.460","32.400","","-0.12%"
"07/07/2010","32.455","32.425","32.495","32.425","","0.09%"
"07/06/2010","32.425","32.425","32.455","32.400","","0.00%"
"07/05/2010","32.425","32.395","32.430","32.385","","0.11%"
"07/02/2010","32.390","32.345","32.410","32.345","","0.14%"
"07/01/2010","32.345","32.405","32.425","32.345","","-0.19%"
"06/30/2010","32.405","32.415","32.445","32.340","","-0.03%"
"06/29/2010","32.415","32.355","32.440","32.355","","0.19%"
"06/28/2010","32.355","32.375","32.375","32.345","","-0.05%"
"06/25/2010","32.370","32.395","32.445","32.360","","-0.08%"
"06/24/2010","32.395","32.355","32.460","32.345","","0.12%"
"06/23/2010","32.355","32.355","32.400","32.345","","0.00%"
"06/22/2010","32.355","32.290","32.360","32.290","","0.20%"
"06/21/2010","32.290","32.305","32.345","32.220","","-0.35%"
"06/18/2010","32.405","32.405","32.415","32.390","","0.00%"
"06/17/2010","32.405","32.395","32.435","32.385","","0.03%"
"06/16/2010","32.395","32.405","32.415","32.380","","-0.03%"
"06/15/2010","32.405","32.385","32.435","32.380","","0.06%"
"06/14/2010","32.385","32.450","32.455","32.375","","-0.20%"
"06/11/2010","32.450","32.440","32.480","32.420","","0.03%"
"06/10/2010","32.440","32.575","32.650","32.410","","-0.41%"
"06/09/2010","32.575","32.605","32.622","32.565","","-0.09%"
"06/08/2010","32.605","32.635","32.645","32.595","","-0.09%"
"06/07/2010","32.635","32.615","32.670","32.605","","0.09%"
"06/04/2010","32.605","32.565","32.615","32.545","","0.12%"
"06/03/2010","32.565","32.585","32.590","32.510","","-0.06%"
"06/02/2010","32.585","32.585","32.630","32.560","","0.00%"
"06/01/2010","32.585","32.505","32.645","32.505","","0.25%"
"05/31/2010","32.505","32.570","32.570","32.495","","-0.15%"
"05/28/2010","32.555","32.540","32.575","32.515","","0.05%"
"05/27/2010","32.540","32.545","32.590","32.510","","-0.02%"
"05/26/2010","32.545","32.540","32.575","32.515","","0.02%"
"05/25/2010","32.540","32.450","32.600","32.445","","0.28%"
"05/24/2010","32.450","32.400","32.475","32.375","","0.11%"
"05/21/2010","32.415","32.470","32.485","32.390","","-0.17%"
"05/20/2010","32.470","32.375","32.470","32.355","","0.29%"
"05/19/2010","32.375","32.340","32.430","32.330","","0.11%"
"05/18/2010","32.340","32.450","32.455","32.275","","-0.34%"
"05/17/2010","32.450","32.390","32.490","32.305","","0.26%"
"05/14/2010","32.365","32.360","32.385","32.275","","0.02%"
"05/13/2010","32.360","32.285","32.375","32.255","","0.23%"
"05/12/2010","32.285","32.330","32.340","32.270","","-0.14%"
"05/11/2010","32.330","32.290","32.355","32.280","","0.12%"
"05/10/2010","32.290","32.250","32.315","32.230","","0.05%"
"05/07/2010","32.275","32.365","32.405","32.265","","-0.28%"
"05/06/2010","32.365","32.380","32.385","32.135","","-0.05%"
"05/05/2010","32.380","32.340","32.380","32.290","","0.12%"
"05/04/2010","32.340","32.330","32.350","32.245","","0.03%"
"05/03/2010","32.330","32.360","32.385","32.320","","-0.05%"
"04/30/2010","32.345","32.300","32.365","32.270","","0.14%"
"04/29/2010","32.300","32.340","32.380","32.210","","-0.12%"
"04/28/2010","32.340","32.320","32.355","32.260","","0.06%"
"04/27/2010","32.320","32.190","32.320","32.190","","0.40%"
"04/26/2010","32.190","32.210","32.275","32.130","","-0.11%"
"04/23/2010","32.225","32.300","32.375","32.170","","-0.23%"
"04/22/2010","32.300","32.190","32.305","32.140","","0.34%"
"04/21/2010","32.190","32.170","32.215","32.060","","0.06%"
"04/20/2010","32.170","32.260","32.270","32.155","","-0.28%"
"04/19/2010","32.260","32.260","32.345","32.200","","0.08%"
"04/16/2010","32.235","32.220","32.310","32.200","","0.05%"
"04/15/2010","32.220","32.250","32.280","32.210","","-0.09%"
"04/14/2010","32.250","32.350","32.355","32.230","","-0.31%"
"04/13/2010","32.350","32.350","32.375","32.310","","0.00%"
"04/12/2010","32.350","32.285","32.370","32.205","","0.40%"
"04/09/2010","32.220","32.305","32.305","32.180","","-0.26%"
"04/08/2010","32.305","32.375","32.380","32.250","","-0.22%"
"04/07/2010","32.375","32.360","32.405","32.310","","0.05%"
"04/06/2010","32.360","32.380","32.380","32.340","","-0.06%"
"04/05/2010","32.380","32.340","32.405","32.330","","0.08%"
"04/02/2010","32.355","32.340","32.375","32.340","","0.05%"
"04/01/2010","32.340","32.330","32.375","32.315","","0.03%"
"03/31/2010","32.330","32.350","32.395","32.320","","-0.06%"
"03/30/2010","32.350","32.350","32.370","32.315","","0.00%"
"03/29/2010","32.350","32.390","32.390","32.335","","-0.20%"
"03/26/2010","32.415","32.390","32.475","32.385","","0.08%"
"03/25/2010","32.390","32.370","32.420","32.360","","0.06%"
"03/24/2010","32.370","32.320","32.370","32.310","","0.15%"
"03/23/2010","32.320","32.310","32.335","32.300","","0.03%"
"03/22/2010","32.310","32.310","32.355","32.305","","-0.02%"
"03/19/2010","32.315","32.320","32.345","32.260","","-0.02%"
"03/18/2010","32.320","32.310","32.330","32.270","","0.03%"
