"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"12/31/2010","0.033300","0.033200","0.033400","0.033200","","0.30%"
"12/30/2010","0.033200","0.033200","0.033200","0.033000","","0.00%"
"12/29/2010","0.033200","0.033100","0.033200","0.033000","","0.30%"
"12/28/2010","0.033100","0.033100","0.033200","0.033000","","0.00%"
"12/27/2010","0.033100","0.033100","0.033300","0.033100","","0.00%"
"12/24/2010","0.033100","0.033200","0.033300","0.033100","","-0.30%"
"12/23/2010","0.033200","0.033100","0.033300","0.033100","","0.00%"
"12/22/2010","0.033200","0.033100","0.033300","0.033000","","0.00%"
"12/21/2010","0.033200","0.033100","0.033200","0.033000","","0.30%"
"12/20/2010","0.033100","0.033200","0.033300","0.033000","","-0.30%"
"12/17/2010","0.033200","0.033200","0.033200","0.033100","","0.00%"
"12/16/2010","0.033200","0.033200","0.033300","0.033100","","0.00%"
"12/15/2010","0.033200","0.033300","0.033400","0.033200","","-0.30%"
"12/14/2010","0.033300","0.033300","0.033300","0.033200","","0.00%"
"12/13/2010","0.033300","0.033200","0.033300","0.033200","","0.30%"
"12/10/2010","0.033200","0.033200","0.033300","0.033200","","-0.30%"
"12/09/2010","0.033300","0.033200","0.033400","0.033200","","0.30%"
"12/08/2010","0.033200","0.033300","0.033300","0.033100","","-0.30%"
"12/07/2010","0.033300","0.033300","0.033400","0.033300","","0.00%"
"12/06/2010","0.033300","0.033300","0.033300","0.033300","","0.00%"
"12/03/2010","0.033300","0.033300","0.033400","0.033200","","0.00%"
"12/02/2010","0.033300","0.033300","0.033500","0.033200","","0.00%"
"12/01/2010","0.033300","0.033100","0.033300","0.033100","","0.60%"
"11/30/2010","0.033100","0.033100","0.033200","0.033000","","0.00%"
"11/29/2010","0.033100","0.033000","0.033200","0.032900","","0.00%"
"11/26/2010","0.033100","0.033300","0.033300","0.033000","","-0.60%"
"11/25/2010","0.033300","0.033300","0.033300","0.033200","","0.00%"
"11/24/2010","0.033300","0.033300","0.033400","0.033200","","0.00%"
"11/23/2010","0.033300","0.033300","0.033500","0.033100","","-0.30%"
"11/22/2010","0.033400","0.033400","0.033500","0.033300","","0.00%"
"11/19/2010","0.033400","0.033400","0.033600","0.033300","","0.00%"
"11/18/2010","0.033400","0.033300","0.033500","0.033200","","0.30%"
"11/17/2010","0.033300","0.033400","0.033400","0.033200","","-0.30%"
"11/16/2010","0.033400","0.033500","0.033600","0.033400","","0.00%"
"11/15/2010","0.033400","0.033500","0.033500","0.033300","","-0.30%"
"11/12/2010","0.033500","0.033600","0.033700","0.033400","","-0.30%"
"11/11/2010","0.033600","0.033800","0.034000","0.033600","","-0.59%"
"11/10/2010","0.033800","0.033800","0.034000","0.033700","","-0.29%"
"11/09/2010","0.033900","0.033700","0.034000","0.033700","","0.59%"
"11/08/2010","0.033700","0.033800","0.033900","0.033600","","0.00%"
"11/05/2010","0.033700","0.033700","0.033900","0.033600","","0.00%"
"11/04/2010","0.033700","0.033600","0.033800","0.033600","","0.30%"
"11/03/2010","0.033600","0.033600","0.033800","0.033400","","0.00%"
"11/02/2010","0.033600","0.033500","0.033600","0.033400","","0.30%"
"11/01/2010","0.033500","0.033400","0.033500","0.033400","","0.30%"
"10/29/2010","0.033400","0.033400","0.033600","0.033300","","0.00%"
"10/28/2010","0.033400","0.033300","0.033600","0.033300","","0.30%"
"10/27/2010","0.033300","0.033500","0.033500","0.033200","","-0.30%"
"10/26/2010","0.033400","0.033500","0.033600","0.033400","","-0.30%"
"10/25/2010","0.033500","0.033400","0.033500","0.033400","","0.30%"
"10/22/2010","0.033400","0.033500","0.033600","0.033300","","-0.30%"
"10/21/2010","0.033500","0.033500","0.033700","0.033400","","0.00%"
"10/20/2010","0.033500","0.033300","0.033500","0.033300","","0.30%"
"10/19/2010","0.033400","0.033500","0.033600","0.033300","","-0.30%"
"10/18/2010","0.033500","0.033500","0.033600","0.033300","","0.00%"
"10/15/2010","0.033500","0.033500","0.033700","0.033400","","0.00%"
"10/14/2010","0.033500","0.033500","0.033700","0.033400","","0.00%"
"10/13/2010","0.033500","0.033400","0.033700","0.033400","","0.30%"
"10/12/2010","0.033400","0.033300","0.033400","0.033200","","0.30%"
"10/11/2010","0.033300","0.033300","0.033400","0.033200","","-0.30%"
"10/08/2010","0.033400","0.033400","0.033500","0.033100","","0.00%"
"10/07/2010","0.033400","0.033400","0.033600","0.033400","","0.00%"
"10/06/2010","0.033400","0.033200","0.033500","0.033200","","0.60%"
"10/05/2010","0.033200","0.033200","0.033300","0.033000","","0.00%"
"10/04/2010","0.033200","0.033100","0.033300","0.033100","","0.30%"
"10/01/2010","0.033100","0.032900","0.033200","0.032900","","0.61%"
"09/30/2010","0.032900","0.032900","0.033100","0.032800","","0.00%"
"09/29/2010","0.032900","0.032700","0.032900","0.032600","","0.61%"
"09/28/2010","0.032700","0.032700","0.032800","0.032600","","0.00%"
"09/27/2010","0.032700","0.032600","0.032800","0.032600","","0.31%"
"09/24/2010","0.032600","0.032600","0.032600","0.032400","","0.00%"
"09/23/2010","0.032600","0.032600","0.032600","0.032500","","0.00%"
"09/22/2010","0.032600","0.032500","0.032700","0.032500","","0.31%"
"09/21/2010","0.032500","0.032500","0.032700","0.032400","","0.00%"
"09/20/2010","0.032500","0.032500","0.032600","0.032400","","0.00%"
"09/17/2010","0.032500","0.032500","0.032600","0.032400","","0.00%"
"09/16/2010","0.032500","0.032400","0.032500","0.032300","","0.31%"
"09/15/2010","0.032400","0.032500","0.032600","0.032300","","-0.31%"
"09/14/2010","0.032500","0.032500","0.032600","0.032400","","0.00%"
"09/13/2010","0.032500","0.032500","0.032600","0.032400","","0.31%"
"09/10/2010","0.032400","0.032400","0.032600","0.032400","","0.00%"
"09/09/2010","0.032400","0.032200","0.032600","0.032200","","0.31%"
"09/08/2010","0.032300","0.032100","0.032400","0.032000","","0.62%"
"09/07/2010","0.032100","0.032100","0.032100","0.032000","","0.00%"
"09/06/2010","0.032100","0.032100","0.032300","0.032000","","0.00%"
"09/03/2010","0.032100","0.032100","0.032200","0.031900","","0.00%"
"09/02/2010","0.032100","0.032100","0.032200","0.032000","","0.00%"
"09/01/2010","0.032100","0.031900","0.032200","0.031900","","0.31%"
"08/31/2010","0.032000","0.031900","0.032100","0.031900","","0.00%"
"08/30/2010","0.032000","0.031900","0.032100","0.031900","","0.31%"
"08/27/2010","0.031900","0.031900","0.032100","0.031900","","0.00%"
"08/26/2010","0.031900","0.031800","0.031900","0.031700","","0.31%"
"08/25/2010","0.031800","0.031700","0.031900","0.031600","","0.32%"
"08/24/2010","0.031700","0.031800","0.031800","0.031600","","-0.31%"
"08/23/2010","0.031800","0.031700","0.031900","0.031600","","0.32%"
"08/20/2010","0.031700","0.031700","0.031900","0.031600","","0.00%"
"08/19/2010","0.031700","0.031600","0.031800","0.031500","","0.32%"
"08/18/2010","0.031600","0.031500","0.031700","0.031500","","0.32%"
"08/17/2010","0.031500","0.031400","0.031700","0.031400","","0.32%"
"08/16/2010","0.031400","0.031400","0.031500","0.031300","","0.32%"
"08/13/2010","0.031300","0.031300","0.031400","0.031300","","0.00%"
"08/12/2010","0.031300","0.031300","0.031300","0.031300","","0.00%"
"08/11/2010","0.031300","0.031300","0.031400","0.031200","","0.00%"
"08/10/2010","0.031300","0.031300","0.031300","0.031200","","0.00%"
"08/09/2010","0.031300","0.031200","0.031400","0.031100","","0.32%"
"08/06/2010","0.031200","0.031200","0.031300","0.031100","","0.00%"
"08/05/2010","0.031200","0.031100","0.031300","0.031000","","0.32%"
"08/04/2010","0.031100","0.031100","0.031100","0.031000","","0.32%"
