"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"02/07/2025","0.029481","0.029577","0.029788","0.029490","","-0.29%"
"02/06/2025","0.029568","0.029793","0.029833","0.029516","","-0.56%"
"02/05/2025","0.029735","0.029700","0.029869","0.029608","","0.15%"
"02/04/2025","0.029691","0.029524","0.029757","0.029421","","0.59%"
"02/03/2025","0.029516","0.029382","0.029577","0.029261","","-0.18%"
"01/31/2025","0.029568","0.029736","0.029829","0.029568","","-0.47%"
"01/30/2025","0.029709","0.029638","0.029829","0.029564","","0.39%"
"01/29/2025","0.029595","0.029530","0.029704","0.029490","","0.33%"
"01/28/2025","0.029499","0.029594","0.029630","0.029421","","-0.23%"
"01/27/2025","0.029568","0.029757","0.029779","0.029560","","-0.50%"
"01/24/2025","0.029718","0.029421","0.029829","0.029368","","1.04%"
"01/23/2025","0.029412","0.029494","0.029560","0.029356","","-0.26%"
"01/22/2025","0.029490","0.029437","0.029616","0.029377","","0.27%"
"01/21/2025","0.029412","0.029317","0.029494","0.029189","","0.35%"
"01/20/2025","0.029308","0.029159","0.029382","0.028965","","1.20%"
"01/17/2025","0.028960","0.028910","0.029129","0.028868","","0.17%"
"01/16/2025","0.028910","0.028918","0.029044","0.028843","","0.15%"
"01/15/2025","0.028868","0.028843","0.029006","0.028715","","0.14%"
"01/14/2025","0.028827","0.028802","0.028881","0.028724","","0.06%"
"01/13/2025","0.028810","0.028835","0.028902","0.028694","","0.14%"
"01/10/2025","0.028769","0.028918","0.029011","0.028735","","-0.43%"
"01/09/2025","0.028893","0.028885","0.028969","0.028777","","0.20%"
"01/08/2025","0.028835","0.028905","0.029006","0.028781","","-0.15%"
"01/07/2025","0.028877","0.028897","0.029079","0.028831","","0.03%"
"01/06/2025","0.028868","0.028994","0.029112","0.028823","","-0.35%"
"01/03/2025","0.028969","0.029066","0.029129","0.028911","","-0.23%"
"01/02/2025","0.029036","0.029151","0.029300","0.029007","","-0.35%"
"01/01/2025","0.029138","0.029129","0.029193","0.029117","","0.21%"
"12/31/2024","0.029078","0.029261","0.029287","0.029087","","-0.52%"
"12/30/2024","0.029231","0.029382","0.029490","0.029172","","-0.29%"
"12/27/2024","0.029317","0.029334","0.029485","0.029205","","0.00%"
"12/26/2024","0.029317","0.029304","0.029338","0.029159","","0.15%"
"12/25/2024","0.029274","0.029274","0.029424","0.029193","","0.15%"
"12/24/2024","0.029231","0.029146","0.029329","0.029129","","0.44%"
"12/23/2024","0.029104","0.029197","0.029304","0.029112","","-0.14%"
"12/20/2024","0.029146","0.028935","0.029296","0.028839","","0.99%"
"12/19/2024","0.028860","0.028960","0.029057","0.028831","","-0.20%"
"12/18/2024","0.028918","0.029244","0.029287","0.028931","","-1.07%"
"12/17/2024","0.029231","0.029338","0.029412","0.029151","","-0.29%"
"12/16/2024","0.029317","0.029296","0.029394","0.029236","","0.21%"
"12/13/2024","0.029257","0.029468","0.029512","0.029244","","-0.58%"
"12/12/2024","0.029429","0.029547","0.029643","0.029391","","-0.15%"
"12/11/2024","0.029472","0.029594","0.029726","0.029451","","-0.42%"
"12/10/2024","0.029595","0.029585","0.029731","0.029529","","0.12%"
"12/09/2024","0.029560","0.029394","0.029713","0.029329","","0.83%"
"12/06/2024","0.029317","0.029317","0.029499","0.029227","","0.06%"
"12/05/2024","0.029300","0.029181","0.029365","0.029159","","0.56%"
"12/04/2024","0.029138","0.029125","0.029236","0.029052","","0.18%"
"12/03/2024","0.029087","0.028969","0.029159","0.028915","","0.49%"
"12/02/2024","0.028944","0.029129","0.029129","0.028927","","-0.58%"
"11/29/2024","0.029112","0.029061","0.029249","0.029024","","0.29%"
"11/28/2024","0.029028","0.028973","0.029096","0.028905","","0.32%"
"11/27/2024","0.028935","0.028818","0.029065","0.028748","","0.55%"
"11/26/2024","0.028777","0.028894","0.028923","0.028740","","-0.37%"
"11/25/2024","0.028885","0.029006","0.029096","0.028818","","-0.35%"
"11/22/2024","0.028986","0.028814","0.029032","0.028735","","0.70%"
"11/21/2024","0.028785","0.028818","0.028923","0.028756","","-0.09%"
"11/20/2024","0.028810","0.028969","0.029007","0.028764","","-0.46%"
"11/19/2024","0.028944","0.028918","0.029011","0.028831","","0.12%"
"11/18/2024","0.028910","0.028691","0.028965","0.028670","","0.75%"
"11/15/2024","0.028694","0.028571","0.028777","0.028510","","0.51%"
"11/14/2024","0.028547","0.028665","0.028756","0.028433","","-0.26%"
"11/13/2024","0.028620","0.028719","0.028935","0.028612","","-0.20%"
"11/12/2024","0.028678","0.028973","0.029024","0.028662","","-0.83%"
"11/11/2024","0.028918","0.029184","0.029227","0.028902","","-0.96%"
"11/08/2024","0.029197","0.029446","0.029485","0.029125","","-0.76%"
"11/07/2024","0.029420","0.029117","0.029482","0.029015","","1.12%"
"11/06/2024","0.029095","0.029766","0.029833","0.029070","","-2.27%"
"11/05/2024","0.029771","0.029608","0.029811","0.029586","","0.66%"
"11/04/2024","0.029577","0.029533","0.029735","0.029477","","0.56%"
"11/01/2024","0.029412","0.029577","0.029616","0.029416","","-0.50%"
"10/31/2024","0.029560","0.029616","0.029700","0.029499","","-0.09%"
"10/30/2024","0.029586","0.029692","0.029753","0.029573","","-0.32%"
"10/29/2024","0.029682","0.029594","0.029717","0.029542","","0.36%"
"10/28/2024","0.029577","0.029656","0.029664","0.029516","","-0.27%"
"10/25/2024","0.029656","0.029692","0.029745","0.029560","","-0.06%"
"10/24/2024","0.029674","0.029585","0.029757","0.029542","","0.39%"
"10/23/2024","0.029560","0.029851","0.029873","0.029546","","-0.92%"
"10/22/2024","0.029833","0.029851","0.029895","0.029788","","0.03%"
"10/21/2024","0.029824","0.030193","0.030235","0.029815","","-1.10%"
"10/18/2024","0.030157","0.030129","0.030239","0.030057","","0.15%"
"10/17/2024","0.030111","0.030093","0.030175","0.030052","","0.12%"
"10/16/2024","0.030075","0.030030","0.030189","0.029931","","0.27%"
"10/15/2024","0.029994","0.030034","0.030097","0.029895","","-0.15%"
"10/14/2024","0.030039","0.030143","0.030212","0.029985","","-0.24%"
"10/11/2024","0.030111","0.029900","0.030203","0.029856","","0.81%"
"10/10/2024","0.029869","0.029829","0.029926","0.029695","","0.18%"
"10/09/2024","0.029815","0.029779","0.030034","0.029766","","0.15%"
"10/08/2024","0.029771","0.029869","0.029949","0.029748","","-0.30%"
"10/07/2024","0.029860","0.030003","0.030048","0.029829","","-0.57%"
"10/04/2024","0.030030","0.030184","0.030432","0.029887","","-0.39%"
"10/03/2024","0.030148","0.030432","0.030437","0.030075","","-0.93%"
"10/02/2024","0.030432","0.030731","0.030807","0.030349","","-0.91%"
"10/01/2024","0.030713","0.030860","0.030912","0.030628","","-0.40%"
"09/30/2024","0.030836","0.030874","0.031118","0.030788","","0.00%"
"09/27/2024","0.030836","0.030874","0.030998","0.030770","","0.03%"
"09/26/2024","0.030826","0.030506","0.030926","0.030488","","1.11%"
"09/25/2024","0.030488","0.030646","0.030717","0.030478","","-0.06%"
"09/24/2024","0.030506","0.030349","0.030670","0.030294","","0.58%"
"09/23/2024","0.030331","0.030367","0.030446","0.030275","","-0.09%"
"09/20/2024","0.030358","0.030175","0.030409","0.030134","","0.70%"
"09/19/2024","0.030148","0.030012","0.030253","0.029824","","0.69%"
"09/18/2024","0.029940","0.029976","0.030253","0.029922","","0.00%"
"09/17/2024","0.029940","0.030075","0.030143","0.029940","","-0.36%"
"09/16/2024","0.030048","0.030071","0.030175","0.030012","","0.12%"
"09/13/2024","0.030012","0.029895","0.030134","0.029869","","0.48%"
"09/12/2024","0.029869","0.029639","0.029935","0.029569","","0.84%"
"09/11/2024","0.029621","0.029683","0.029829","0.029524","","-0.18%"
"09/10/2024","0.029674","0.029512","0.029731","0.029460","","0.65%"
"09/09/2024","0.029481","0.029717","0.029717","0.029425","","-0.50%"
"09/06/2024","0.029630","0.029749","0.029976","0.029599","","-0.30%"
"09/05/2024","0.029718","0.029394","0.029811","0.029330","","1.16%"
"09/04/2024","0.029377","0.029167","0.029437","0.029137","","0.85%"
"09/03/2024","0.029129","0.029231","0.029287","0.029120","","-0.29%"
"09/02/2024","0.029214","0.029373","0.029390","0.029197","","-0.44%"
"08/30/2024","0.029343","0.029451","0.029569","0.029304","","-0.35%"
"08/29/2024","0.029446","0.029347","0.029507","0.029330","","0.44%"
"08/28/2024","0.029317","0.029485","0.029525","0.029317","","-0.50%"
"08/27/2024","0.029464","0.029407","0.029529","0.029296","","0.27%"
"08/26/2024","0.029386","0.029429","0.029538","0.029364","","-0.03%"
"08/23/2024","0.029394","0.028948","0.029516","0.028926","","1.67%"
"08/22/2024","0.028910","0.029206","0.029266","0.028885","","-0.84%"
"08/21/2024","0.029155","0.029244","0.029382","0.029112","","-0.20%"
"08/20/2024","0.029214","0.029032","0.029308","0.029027","","0.67%"
"08/19/2024","0.029019","0.028864","0.029112","0.028835","","0.70%"
"08/16/2024","0.028818","0.028474","0.028910","0.028433","","1.35%"
"08/15/2024","0.028433","0.028490","0.028662","0.028397","","-0.23%"
"08/14/2024","0.028498","0.028555","0.028719","0.028453","","-0.20%"
"08/13/2024","0.028555","0.028458","0.028604","0.028413","","0.46%"
"08/12/2024","0.028425","0.028373","0.028474","0.028329","","0.34%"
"08/09/2024","0.028329","0.028377","0.028453","0.028293","","0.06%"
"08/08/2024","0.028313","0.028110","0.028409","0.028070","","0.85%"
"08/07/2024","0.028074","0.028158","0.028229","0.027991","","-0.39%"
"08/06/2024","0.028185","0.028193","0.028293","0.028090","","0.11%"
"08/05/2024","0.028153","0.028353","0.028543","0.028157","","-0.48%"
"08/02/2024","0.028289","0.028110","0.028466","0.028074","","0.74%"
"08/01/2024","0.028082","0.028126","0.028245","0.028054","","-0.11%"
"07/31/2024","0.028114","0.027851","0.028169","0.027832","","1.07%"
"07/30/2024","0.027816","0.027786","0.027905","0.027758","","0.14%"
"07/29/2024","0.027778","0.027817","0.027921","0.027743","","-0.14%"
"07/26/2024","0.027816","0.027601","0.027863","0.027563","","0.80%"
"07/25/2024","0.027594","0.027724","0.027758","0.027548","","-0.47%"
"07/24/2024","0.027724","0.027663","0.027851","0.027629","","0.25%"
"07/23/2024","0.027655","0.027525","0.027689","0.027517","","0.50%"
"07/22/2024","0.027518","0.027517","0.027590","0.027492","","0.16%"
"07/19/2024","0.027473","0.027678","0.027709","0.027480","","-0.71%"
"07/18/2024","0.027670","0.027824","0.027890","0.027666","","-0.58%"
"07/17/2024","0.027832","0.027763","0.027933","0.027750","","0.25%"
"07/16/2024","0.027762","0.027671","0.027793","0.027578","","0.36%"
"07/15/2024","0.027663","0.027686","0.027720","0.027555","","-0.05%"
"07/12/2024","0.027678","0.027694","0.027747","0.027578","","0.03%"
"07/11/2024","0.027670","0.027510","0.027732","0.027492","","0.66%"
"07/10/2024","0.027488","0.027465","0.027575","0.027423","","0.17%"
"07/09/2024","0.027442","0.027457","0.027510","0.027408","","0.03%"
"07/08/2024","0.027435","0.027405","0.027507","0.027390","","0.08%"
"07/05/2024","0.027412","0.027300","0.027454","0.027285","","0.47%"
