Date,Price,Open,High,Low,Volume,Change,Unit
2000-01-03,289.0,288.5,289.0,289.0,0.0,0.26,0.0
2000-01-04,282.45,288.75,282.45,282.45,0.0,-2.27,-6.55
2000-01-05,281.0,281.5,281.0,281.0,0.0,-0.51,-1.45
2000-01-06,281.23,280.12,281.23,281.23,0.0,0.08,0.23
2000-01-07,281.75,281.15,281.75,281.75,0.0,0.18,0.52
2000-01-08,281.66,281.3933333333333,281.66,281.66,0.0,0.0,-0.09
2000-01-09,281.57,281.63666666666666,281.57,281.57,0.0,0.0,-0.09
2000-01-10,281.48,281.88,281.48,281.48,0.0,-0.1,-0.09
2000-01-11,283.38,281.48,283.38,283.38,0.0,0.68,1.9
2000-01-12,282.48,283.27,282.48,282.48,0.0,-0.32,-0.9
2000-01-13,284.25,282.6,284.25,284.25,0.0,0.63,1.77
2000-01-14,284.0,284.2,284.0,284.0,0.0,-0.09,-0.25
2000-01-15,284.51666666666665,284.1666666666667,284.51666666666665,284.51666666666665,0.0,0.0,0.52
2000-01-16,285.03333333333336,284.1333333333333,285.03333333333336,285.03333333333336,0.0,0.0,0.52
2000-01-17,285.55,284.1,285.55,285.55,0.0,0.55,0.52
2000-01-18,288.65,285.55,288.65,288.65,0.0,1.09,3.1
2000-01-19,289.52,288.77,289.52,289.52,0.0,0.3,0.87
2000-01-20,288.62,289.62,288.62,288.62,0.0,-0.31,-0.9
2000-01-21,289.1,288.6,289.1,289.1,0.0,0.17,0.48
2000-01-22,288.6333333333333,288.75,288.6333333333333,288.6333333333333,0.0,0.0,-0.47
2000-01-23,288.1666666666667,288.90000000000003,288.1666666666667,288.1666666666667,0.0,0.0,-0.47
2000-01-24,287.7,289.05,287.7,287.7,0.0,-0.48,-0.47
2000-01-25,285.85,287.6,285.85,285.85,0.0,-0.64,-1.85
2000-01-26,285.95,285.95,285.95,285.95,0.0,0.03,0.1
2000-01-27,286.9,286.2,286.9,286.9,0.0,0.33,0.95
2000-01-28,282.75,286.7,282.75,282.75,0.0,-1.45,-4.15
2000-01-29,282.91,285.5733333333333,282.91,282.91,0.0,0.0,0.16
2000-01-30,283.07,284.44666666666666,283.07,283.07,0.0,0.0,0.16
2000-01-31,283.23,283.32,283.23,283.23,0.0,0.17,0.16
2000-02-01,282.62,283.27,282.62,282.62,0.0,-0.22,-0.61
2000-02-02,284.88,282.88,284.88,284.88,0.0,0.8,2.26
2000-02-03,287.4,285.0,287.4,287.4,0.0,0.88,2.52
2000-02-04,315.2,287.75,315.2,315.2,0.0,9.67,27.8
2000-02-05,310.73333333333335,295.1666666666667,310.73333333333335,310.73333333333335,0.0,0.0,-4.47
2000-02-06,306.26666666666665,302.5833333333333,306.26666666666665,306.26666666666665,0.0,0.0,-4.47
2000-02-07,301.8,310.0,301.8,301.8,0.0,-4.25,-4.47
2000-02-08,299.0,302.25,299.0,299.0,0.0,-0.93,-2.8
2000-02-09,306.25,301.25,306.25,306.25,0.0,2.42,7.25
2000-02-10,316.95,305.5,316.95,316.95,0.0,3.49,10.7
2000-02-11,311.2,316.0,311.2,311.2,0.0,-1.81,-5.75
2000-02-12,310.1333333333333,314.3333333333333,310.1333333333333,310.1333333333333,0.0,0.0,-1.07
2000-02-13,309.06666666666666,312.6666666666667,309.06666666666666,309.06666666666666,0.0,0.0,-1.07
2000-02-14,308.0,311.0,308.0,308.0,0.0,-1.03,-1.07
2000-02-15,302.0,308.4,302.0,302.0,0.0,-1.95,-6.0
2000-02-16,302.5,301.5,302.5,302.5,0.0,0.17,0.5
2000-02-17,301.25,302.5,301.25,301.25,0.0,-0.41,-1.25
2000-02-18,304.8,300.75,304.8,304.8,0.0,1.18,3.55
2000-02-19,305.03333333333336,302.0,305.03333333333336,305.03333333333336,0.0,0.0,0.23
2000-02-20,305.26666666666665,303.25,305.26666666666665,305.26666666666665,0.0,0.0,0.23
2000-02-21,305.5,304.5,305.5,305.5,0.0,0.23,0.23
2000-02-22,305.25,305.5,305.25,305.25,0.0,-0.08,-0.25
2000-02-23,300.1,305.1,300.1,300.1,0.0,-1.69,-5.15
2000-02-24,298.6,300.25,298.6,298.6,0.0,-0.5,-1.5
2000-02-25,292.6,298.5,292.6,292.6,0.0,-2.01,-6.0
2000-02-26,292.48333333333335,296.5833333333333,292.48333333333335,292.48333333333335,0.0,0.0,-0.12
2000-02-27,292.3666666666667,294.6666666666667,292.3666666666667,292.3666666666667,0.0,0.0,-0.12
2000-02-28,292.25,292.75,292.25,292.25,0.0,-0.12,-0.12
2000-02-29,292.12,291.88,292.12,292.12,0.0,-0.04,-0.13
2000-03-01,291.25,292.25,291.25,291.25,0.0,-0.3,-0.87
2000-03-02,288.2,290.0,288.2,288.2,0.0,-1.05,-3.05
2000-03-03,288.8,288.0,288.8,288.8,0.0,0.21,0.6
2000-03-04,288.5,288.3333333333333,288.5,288.5,0.0,0.0,-0.3
2000-03-05,288.2,288.6666666666667,288.2,288.2,0.0,0.0,-0.3
2000-03-06,287.9,289.0,287.9,287.9,0.0,-0.31,-0.3
2000-03-07,292.1,288.0,292.1,292.1,0.0,1.46,4.2
2000-03-08,288.6,292.4,288.6,288.6,0.0,-1.2,-3.5
2000-03-09,291.25,288.25,291.25,291.25,0.0,0.92,2.65
2000-03-10,289.0,291.5,289.0,289.0,0.0,-0.77,-2.25
2000-03-11,289.46,290.62666666666667,289.46,289.46,0.0,0.0,0.46
2000-03-12,289.92,289.75333333333333,289.92,289.92,0.0,0.0,0.46
2000-03-13,290.38,288.88,290.38,290.38,0.0,0.48,0.46
2000-03-14,288.88,290.62,288.88,288.88,0.0,-0.52,-1.5
2000-03-15,288.88,288.88,288.88,288.88,0.0,0.0,0.0
2000-03-16,286.5,289.0,286.5,286.5,0.0,-0.82,-2.38
2000-03-17,284.5,286.0,284.5,284.5,0.0,-0.7,-2.0
2000-03-18,284.96,285.2266666666667,284.96,284.96,0.0,0.0,0.46
2000-03-19,285.42,284.4533333333333,285.42,285.42,0.0,0.0,0.46
2000-03-20,285.88,283.68,285.88,285.88,0.0,0.49,0.46
2000-03-21,289.88,286.23,289.88,289.88,0.0,1.4,4.0
2000-03-22,288.0,289.75,288.0,288.0,0.0,-0.65,-1.88
2000-03-23,285.5,288.1,285.5,285.5,0.0,-0.87,-2.5
2000-03-24,284.9,285.1,284.9,284.9,0.0,-0.21,-0.6
2000-03-25,283.3333333333333,285.1166666666667,283.3333333333333,283.3333333333333,0.0,0.0,-1.57
2000-03-26,281.76666666666665,285.1333333333333,281.76666666666665,281.76666666666665,0.0,0.0,-1.57
2000-03-27,280.2,285.15,280.2,280.2,0.0,-1.65,-1.57
2000-03-28,279.35,280.35,279.35,279.35,0.0,-0.3,-0.85
2000-03-29,276.25,279.55,276.25,276.25,0.0,-1.11,-3.1
2000-03-30,276.5,276.15,276.5,276.5,0.0,0.09,0.25
2000-03-31,278.95,276.75,278.95,278.95,0.0,0.89,2.45
2000-04-01,278.68333333333334,277.4166666666667,278.68333333333334,278.68333333333334,0.0,0.0,-0.27
2000-04-02,278.41666666666663,278.0833333333333,278.41666666666663,278.41666666666663,0.0,0.0,-0.27
2000-04-03,278.15,278.75,278.15,278.15,0.0,-0.29,-0.27
2000-04-04,284.8,278.5,284.8,284.8,0.0,2.39,6.65
2000-04-05,281.5,284.5,281.5,281.5,0.0,-1.16,-3.3
2000-04-06,280.5,281.6,280.5,280.5,0.0,-0.36,-1.0
2000-04-07,280.2,280.25,280.2,280.2,0.0,-0.11,-0.3
2000-04-08,280.71666666666664,280.15,280.71666666666664,280.71666666666664,0.0,0.0,0.52
2000-04-09,281.23333333333335,280.05,281.23333333333335,281.23333333333335,0.0,0.0,0.52
2000-04-10,281.75,279.95,281.75,281.75,0.0,0.55,0.52
2000-04-11,281.62,281.62,281.62,281.62,0.0,-0.05,-0.13
2000-04-12,282.25,281.7,282.25,282.25,0.0,0.22,0.63
2000-04-13,281.8,282.05,281.8,281.8,0.0,-0.16,-0.45
2000-04-14,283.0,281.75,283.0,283.0,0.0,0.43,1.2
2000-04-15,282.46,282.42333333333335,282.46,282.46,0.0,0.0,-0.54
2000-04-16,281.92,283.09666666666664,281.92,281.92,0.0,0.0,-0.54
2000-04-17,281.38,283.77,281.38,281.38,0.0,-0.57,-0.54
2000-04-18,281.12,280.62,281.12,281.12,0.0,-0.09,-0.26
2000-04-19,280.77,281.27,280.77,280.77,0.0,-0.12,-0.35
2000-04-20,279.75,280.75,279.75,279.75,0.0,-0.36,-1.02
2000-04-21,280.0,280.0,280.0,280.0,0.0,0.09,0.25
2000-04-22,279.93333333333334,280.0,279.93333333333334,279.93333333333334,0.0,0.0,-0.07
2000-04-23,279.8666666666667,280.0,279.8666666666667,279.8666666666667,0.0,0.0,-0.07
2000-04-24,279.8,280.0,279.8,279.8,0.0,-0.07,-0.07
2000-04-25,278.25,279.75,278.25,278.25,0.0,-0.55,-1.55
2000-04-26,275.65,278.15,275.65,275.65,0.0,-0.93,-2.6
2000-04-27,277.05,275.85,277.05,277.05,0.0,0.51,1.4
2000-04-28,273.5,277.1,273.5,273.5,0.0,-1.28,-3.55
2000-04-29,273.54,276.0266666666667,273.54,273.54,0.0,0.0,0.04
2000-04-30,273.58,274.9533333333333,273.58,273.58,0.0,0.0,0.04
2000-05-01,273.62,273.88,273.62,273.62,0.0,0.04,0.04
2000-05-02,275.75,273.75,275.75,275.75,0.0,0.78,2.13
2000-05-03,278.38,275.88,278.38,278.38,0.0,0.95,2.63
2000-05-04,280.12,278.88,280.12,280.12,0.0,0.63,1.74
2000-05-05,278.95,280.45,278.95,278.95,0.0,-0.42,-1.17
2000-05-06,278.17333333333335,279.9733333333333,278.17333333333335,278.17333333333335,0.0,0.0,-0.78
2000-05-07,277.39666666666665,279.49666666666667,277.39666666666665,277.39666666666665,0.0,0.0,-0.78
2000-05-08,276.62,279.02,276.62,276.62,0.0,-0.84,-0.78
2000-05-09,277.25,276.45,277.25,277.25,0.0,0.23,0.63
2000-05-10,277.75,277.25,277.75,277.75,0.0,0.18,0.5
2000-05-11,275.95,277.6,275.95,275.95,0.0,-0.65,-1.8
2000-05-12,276.15,276.0,276.15,276.15,0.0,0.07,0.2
2000-05-13,275.9833333333333,276.15,275.9833333333333,275.9833333333333,0.0,0.0,-0.17
2000-05-14,275.81666666666666,276.3,275.81666666666666,275.81666666666666,0.0,0.0,-0.17
2000-05-15,275.65,276.45,275.65,275.65,0.0,-0.18,-0.17
2000-05-16,275.55,275.65,275.55,275.55,0.0,-0.04,-0.1
2000-05-17,273.35,275.5,273.35,273.35,0.0,-0.8,-2.2
2000-05-18,273.35,273.5,273.35,273.35,0.0,0.0,0.0
2000-05-19,274.25,273.4,274.25,274.25,0.0,0.33,0.9
2000-05-20,274.75,273.6333333333333,274.75,274.75,0.0,0.0,0.5
2000-05-21,275.25,273.8666666666667,275.25,275.25,0.0,0.0,0.5
2000-05-22,275.75,274.1,275.75,275.75,0.0,0.55,0.5
2000-05-23,274.35,275.4,274.35,274.35,0.0,-0.51,-1.4
2000-05-24,273.55,274.1,273.55,273.55,0.0,-0.29,-0.8
2000-05-25,270.25,273.45,270.25,270.25,0.0,-1.21,-3.3
2000-05-26,272.05,270.0,272.05,272.05,0.0,0.67,1.8
2000-05-27,272.0833333333333,270.75,272.0833333333333,272.0833333333333,0.0,0.0,0.03
2000-05-28,272.1166666666667,271.5,272.1166666666667,272.1166666666667,0.0,0.0,0.03
2000-05-29,272.15,272.25,272.15,272.15,0.0,0.04,0.03
2000-05-30,272.95,273.25,272.95,272.95,0.0,0.29,0.8
2000-05-31,272.15,272.95,272.15,272.15,0.0,-0.29,-0.8
2000-06-01,272.8,272.0,272.8,272.8,0.0,0.24,0.65
2000-06-02,281.38,272.98,281.38,281.38,0.0,3.15,8.58
2000-06-03,282.74666666666667,275.44666666666666,282.74666666666667,282.74666666666667,0.0,0.0,1.37
2000-06-04,284.11333333333334,277.91333333333336,284.11333333333334,284.11333333333334,0.0,0.0,1.37
2000-06-05,285.48,280.38,285.48,285.48,0.0,1.46,1.37
2000-06-06,289.3,285.7,289.3,289.3,0.0,1.34,3.82
2000-06-07,287.25,289.25,287.25,287.25,0.0,-0.71,-2.05
2000-06-08,284.45,286.75,284.45,284.45,0.0,-0.97,-2.8
2000-06-09,283.85,284.35,283.85,283.85,0.0,-0.21,-0.6
2000-06-10,284.81666666666666,284.18333333333334,284.81666666666666,284.81666666666666,0.0,0.0,0.97
2000-06-11,285.78333333333336,284.0166666666667,285.78333333333336,285.78333333333336,0.0,0.0,0.97
2000-06-12,286.75,283.85,286.75,286.75,0.0,1.02,0.97
2000-06-13,285.75,286.5,285.75,285.75,0.0,-0.35,-1.0
2000-06-14,291.75,286.15,291.75,291.75,0.0,2.1,6.0
2000-06-15,289.85,292.45,289.85,289.85,0.0,-0.65,-1.9
2000-06-16,289.25,289.55,289.25,289.25,0.0,-0.21,-0.6
2000-06-17,288.25,289.1666666666667,288.25,288.25,0.0,0.0,-1.0
2000-06-18,287.25,288.7833333333333,287.25,287.25,0.0,0.0,-1.0
2000-06-19,286.25,288.4,286.25,286.25,0.0,-1.04,-1.0
2000-06-20,286.2,286.15,286.2,286.2,0.0,-0.02,-0.05
2000-06-21,286.2,286.35,286.2,286.2,0.0,0.0,0.0
2000-06-22,285.65,286.25,285.65,285.65,0.0,-0.19,-0.55
2000-06-23,283.2,285.6,283.2,283.2,0.0,-0.86,-2.45
2000-06-24,283.46666666666664,284.7,283.46666666666664,283.46666666666664,0.0,0.0,0.27
2000-06-25,283.73333333333335,283.8,283.73333333333335,283.73333333333335,0.0,0.0,0.27
2000-06-26,284.0,282.9,284.0,284.0,0.0,0.28,0.27
2000-06-27,286.05,284.45,286.05,286.05,0.0,0.72,2.05
2000-06-28,292.8,286.05,292.8,292.8,0.0,2.36,6.75
2000-06-29,289.15,291.75,289.15,289.15,0.0,-1.25,-3.65
2000-06-30,290.1,289.25,290.1,290.1,0.0,0.33,0.95
2000-07-01,289.3666666666667,289.3833333333333,289.3666666666667,289.3666666666667,0.0,0.0,-0.73
2000-07-02,288.6333333333333,289.51666666666665,288.6333333333333,288.6333333333333,0.0,0.0,-0.73
2000-07-03,287.9,289.65,287.9,287.9,0.0,-0.76,-0.73
2000-07-04,286.75,287.8,286.75,286.75,0.0,-0.4,-1.15
2000-07-05,284.15,286.85,284.15,284.15,0.0,-0.91,-2.6
2000-07-06,283.5,283.85,283.5,283.5,0.0,-0.23,-0.65
2000-07-07,283.65,283.6,283.65,283.65,0.0,0.05,0.15
2000-07-08,283.75,283.6,283.75,283.75,0.0,0.0,0.1
2000-07-09,283.84999999999997,283.6,283.84999999999997,283.84999999999997,0.0,0.0,0.1
2000-07-10,283.95,283.6,283.95,283.95,0.0,0.11,0.1
2000-07-11,282.5,284.05,282.5,282.5,0.0,-0.51,-1.45
2000-07-12,280.75,282.65,280.75,280.75,0.0,-0.62,-1.75
2000-07-13,280.25,280.65,280.25,280.25,0.0,-0.18,-0.5
2000-07-14,281.35,280.55,281.35,281.35,0.0,0.39,1.1
2000-07-15,282.08333333333337,280.75,282.08333333333337,282.08333333333337,0.0,0.0,0.73
2000-07-16,282.81666666666666,280.95,282.81666666666666,282.81666666666666,0.0,0.0,0.73
2000-07-17,283.55,281.15,283.55,283.55,0.0,0.78,0.73
2000-07-18,282.65,283.55,282.65,282.65,0.0,-0.32,-0.9
2000-07-19,279.15,282.6,279.15,279.15,0.0,-1.24,-3.5
2000-07-20,280.25,279.05,280.25,280.25,0.0,0.39,1.1
2000-07-21,280.35,280.5,280.35,280.35,0.0,0.04,0.1
2000-07-22,279.98333333333335,280.35,279.98333333333335,279.98333333333335,0.0,0.0,-0.37
2000-07-23,279.6166666666667,280.2,279.6166666666667,279.6166666666667,0.0,0.0,-0.37
2000-07-24,279.25,280.05,279.25,279.25,0.0,-0.39,-0.37
2000-07-25,279.15,279.25,279.15,279.15,0.0,-0.04,-0.1
2000-07-26,279.75,279.3,279.75,279.75,0.0,0.21,0.6
2000-07-27,278.5,279.95,278.5,278.5,0.0,-0.45,-1.25
2000-07-28,278.4,278.55,278.4,278.4,0.0,-0.04,-0.1
2000-07-29,278.01666666666665,278.4166666666667,278.01666666666665,278.01666666666665,0.0,0.0,-0.38
2000-07-30,277.6333333333333,278.2833333333333,277.6333333333333,277.6333333333333,0.0,0.0,-0.38
2000-07-31,277.25,278.15,277.25,277.25,0.0,-0.41,-0.38
2000-08-01,277.35,277.55,277.35,277.35,0.0,0.04,0.1
2000-08-02,277.55,277.5,277.55,277.55,0.0,0.07,0.2
2000-08-03,274.0,277.4,274.0,274.0,0.0,-1.28,-3.55
2000-08-04,273.25,274.05,273.25,273.25,0.0,-0.27,-0.75
2000-08-05,273.4166666666667,273.6166666666667,273.4166666666667,273.4166666666667,0.0,0.0,0.17
2000-08-06,273.5833333333333,273.18333333333334,273.5833333333333,273.5833333333333,0.0,0.0,0.17
2000-08-07,273.75,272.75,273.75,273.75,0.0,0.18,0.17
2000-08-08,273.25,273.85,273.25,273.25,0.0,-0.18,-0.5
2000-08-09,272.85,273.75,272.85,272.85,0.0,-0.15,-0.4
2000-08-10,272.75,272.25,272.75,272.75,0.0,-0.04,-0.1
2000-08-11,275.15,272.7,275.15,275.15,0.0,0.88,2.4
2000-08-12,275.01666666666665,273.5,275.01666666666665,275.01666666666665,0.0,0.0,-0.13
2000-08-13,274.8833333333333,274.3,274.8833333333333,274.8833333333333,0.0,0.0,-0.13
2000-08-14,274.75,275.1,274.75,274.75,0.0,-0.15,-0.13
2000-08-15,274.65,274.75,274.65,274.65,0.0,-0.04,-0.1
2000-08-16,277.2,274.7,277.2,277.2,0.0,0.93,2.55
2000-08-17,277.6,277.75,277.6,277.6,0.0,0.14,0.4
2000-08-18,276.65,277.35,276.65,276.65,0.0,-0.34,-0.95
2000-08-19,276.18333333333334,277.1333333333333,276.18333333333334,276.18333333333334,0.0,0.0,-0.47
2000-08-20,275.71666666666664,276.9166666666667,275.71666666666664,275.71666666666664,0.0,0.0,-0.47
2000-08-21,275.25,276.7,275.25,275.25,0.0,-0.51,-0.47
2000-08-22,273.75,274.25,273.75,273.75,0.0,-0.54,-1.5
2000-08-23,271.25,273.55,271.25,271.25,0.0,-0.91,-2.5
2000-08-24,272.95,270.25,272.95,272.95,0.0,0.63,1.7
2000-08-25,274.25,272.95,274.25,274.25,0.0,0.48,1.3
2000-08-26,274.2,273.34999999999997,274.2,274.2,0.0,0.0,-0.05
2000-08-27,274.15000000000003,273.75,274.15000000000003,274.15000000000003,0.0,0.0,-0.05
2000-08-28,274.1,274.15,274.1,274.1,0.0,-0.05,-0.05
2000-08-29,273.45,273.85,273.45,273.45,0.0,-0.24,-0.65
2000-08-30,274.25,273.25,274.25,274.25,0.0,0.29,0.8
2000-08-31,277.75,274.15,277.75,277.75,0.0,1.28,3.5
2000-09-01,276.85,277.9,276.85,276.85,0.0,-0.32,-0.9
2000-09-02,276.90000000000003,277.5833333333333,276.90000000000003,276.90000000000003,0.0,0.0,0.05
2000-09-03,276.95,277.26666666666665,276.95,276.95,0.0,0.0,0.05
2000-09-04,277.0,276.95,277.0,277.0,0.0,0.05,0.05
2000-09-05,275.55,276.95,275.55,275.55,0.0,-0.52,-1.45
2000-09-06,274.45,275.7,274.45,274.45,0.0,-0.4,-1.1
2000-09-07,273.8,274.55,273.8,273.8,0.0,-0.24,-0.65
2000-09-08,273.05,273.85,273.05,273.05,0.0,-0.27,-0.75
2000-09-09,273.18333333333334,273.55,273.18333333333334,273.18333333333334,0.0,0.0,0.13
2000-09-10,273.31666666666666,273.25,273.31666666666666,273.31666666666666,0.0,0.0,0.13
2000-09-11,273.45,272.95,273.45,273.45,0.0,0.15,0.13
2000-09-12,273.05,273.2,273.05,273.05,0.0,-0.15,-0.4
2000-09-13,272.8,274.05,272.8,272.8,0.0,-0.09,-0.25
2000-09-14,272.45,272.35,272.45,272.45,0.0,-0.13,-0.35
2000-09-15,272.55,272.75,272.55,272.55,0.0,0.04,0.1
2000-09-16,272.3,272.68333333333334,272.3,272.3,0.0,0.0,-0.25
2000-09-17,272.05,272.6166666666667,272.05,272.05,0.0,0.0,-0.25
2000-09-18,271.8,272.55,271.8,271.8,0.0,-0.28,-0.25
2000-09-19,272.25,272.0,272.25,272.25,0.0,0.17,0.45
2000-09-20,269.45,272.15,269.45,269.45,0.0,-1.03,-2.8
2000-09-21,270.75,269.55,270.75,270.75,0.0,0.48,1.3
2000-09-22,272.15,271.05,272.15,272.15,0.0,0.52,1.4
2000-09-23,272.8666666666667,271.3833333333333,272.8666666666667,272.8666666666667,0.0,0.0,0.72
2000-09-24,273.5833333333333,271.7166666666667,273.5833333333333,273.5833333333333,0.0,0.0,0.72
2000-09-25,274.3,272.05,274.3,274.3,0.0,0.79,0.72
2000-09-26,274.35,274.55,274.35,274.35,0.0,0.02,0.05
2000-09-27,278.6,274.45,278.6,278.6,0.0,1.55,4.25
2000-09-28,275.55,278.5,275.55,275.55,0.0,-1.09,-3.05
2000-09-29,274.25,275.25,274.25,274.25,0.0,-0.47,-1.3
2000-09-30,273.96666666666664,274.9166666666667,273.96666666666664,273.96666666666664,0.0,0.0,-0.28
2000-10-01,273.68333333333334,274.5833333333333,273.68333333333334,273.68333333333334,0.0,0.0,-0.28
2000-10-02,273.4,274.25,273.4,273.4,0.0,-0.31,-0.28
2000-10-03,272.25,273.35,272.25,272.25,0.0,-0.42,-1.15
2000-10-04,270.75,272.0,270.75,270.75,0.0,-0.55,-1.5
2000-10-05,270.35,270.85,270.35,270.35,0.0,-0.15,-0.4
